City/Town,Report Date,Total Case Count,Total Case Rate,,,
West Newbury,04/29/2020,5,122.5,,,
West Springfield,04/29/2020,217,736.66,,,
West Stockbridge,04/29/2020,<5,*,,,
West Tisbury,04/29/2020,7,242.81,,,
Westborough,04/29/2020,209,1109.21,,,
Westfield,04/29/2020,344,827.35,,,
Westford,04/29/2020,115,496.99,,,
Westhampton,04/29/2020,<5,*,,,
Westminster,04/29/2020,14,190.94,,,
Weston,04/29/2020,80,721.13,,,
Westport,04/29/2020,43,258.35,,,
Westwood,04/29/2020,82,556.33,,,
Weymouth,04/29/2020,504,898.98,,,
Whately,04/29/2020,<5,*,,,
Whitman,04/29/2020,124,804.16,,,
Wilbraham,04/29/2020,115,790.79,,,
Williamsburg,04/29/2020,8,324.3,,,
Williamstown,04/29/2020,79,1072.1,,,
Wilmington,04/29/2020,241,988.79,,,
Winchendon,04/29/2020,51,474.57,,,
Winchester,04/29/2020,76,340.44,,,
Windsor,04/29/2020,0,0,,,
Winthrop,04/29/2020,167,886.07,,,
Woburn,04/29/2020,344,829.1,,,
Worcester,04/29/2020,2284,1190.4,,,
Worthington,04/29/2020,0,0,,,
Wrentham,04/29/2020,120,1064.35,,,
Yarmouth,04/29/2020,65,270.57,,,
Unknown,04/29/2020,446,*,,,
State,04/29/2020,60265,865.03,,,
