City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Adams,09/23/2020,43,<5,2.6,No Change,2448,449,3,0.67%,Lower
Agawam,09/23/2020,556,13,3.2,Higher,13044,1653,15,0.91%,Higher
Alford,09/23/2020,<5,0,0,No Change,75,13,0,0%,No Change
Amesbury,09/23/2020,202,<5,1.3,Higher,5927,789,4,0.51%,Higher
Amherst,09/23/2020,149,<5,0.5,No Change,55640,21102,11,0.05%,No Change
Andover,09/23/2020,376,15,3.0,Higher,16171,3033,16,0.53%,Higher
Aquinnah,09/23/2020,<5,0,0,No Change,175,15,0,0%,No Change
Arlington,09/23/2020,360,12,1.9,Lower,19174,3658,13,0.36%,No Change
Ashburnham,09/23/2020,38,0,0,Lower,2356,388,0,0%,Lower
Ashby,09/23/2020,18,0,0,No Change,895,125,1,0.80%,No Change
Ashfield,09/23/2020,6,0,0,Lower,517,95,0,0%,Lower
Ashland,09/23/2020,304,16,5.9,Higher,7323,1140,18,1.58%,Higher
Athol,09/23/2020,86,<5,1.8,No Change,4665,536,4,0.75%,Lower
Attleboro,09/23/2020,815,49,7.6,Higher,14264,2091,56,2.68%,No Change
Auburn,09/23/2020,256,11,4.8,Higher,6494,1007,14,1.39%,Higher
Avon,09/23/2020,85,<5,4.9,Higher,1752,222,3,1.35%,Higher
Ayer,09/23/2020,151,<5,1.8,Higher,5746,521,2,0.38%,Higher
Barnstable,09/23/2020,458,8,1.3,Lower,14219,1616,12,0.74%,Lower
Barre,09/23/2020,65,0,0,Lower,1823,261,0,0%,Lower
Becket,09/23/2020,16,0,0,No Change,491,66,0,0%,No Change
Bedford,09/23/2020,270,7,3.4,Higher,10353,1080,7,0.65%,Lower
Belchertown,09/23/2020,133,<5,0.4,Lower,6291,1294,1,0.08%,No Change
Bellingham,09/23/2020,165,6,2.4,Higher,5124,673,6,0.89%,Higher
Belmont,09/23/2020,264,8,2.1,Higher,11362,2465,11,0.45%,No Change
Berkley,09/23/2020,88,5,5.3,Higher,2297,314,5,1.59%,Higher
Berlin,09/23/2020,23,<5,2.2,Higher,1185,198,1,0.51%,Higher
Bernardston,09/23/2020,8,0,0,No Change,797,163,0,0%,No Change
Beverly,09/23/2020,692,11,1.9,No Change,25982,7000,14,0.20%,No Change
Billerica,09/23/2020,654,26,4.3,Higher,15145,2135,27,1.26%,Higher
Blackstone,09/23/2020,74,<5,0.8,Lower,2648,356,1,0.28%,Lower
Blandford,09/23/2020,<5,0,0,No Change,261,35,0,0%,No Change
Bolton,09/23/2020,13,<5,1.4,No Change,2037,326,1,0.31%,No Change
Boston,09/23/2020,17348,773,7.9,Higher,527297,152051,915,0.60%,No Change
Bourne,09/23/2020,180,5,1.7,No Change,7498,1234,6,0.49%,Lower
Boxborough,09/23/2020,28,0,0,No Change,1775,251,0,0%,No Change
Boxford,09/23/2020,56,<5,2.8,Higher,2903,464,5,1.08%,Higher
Boylston,09/23/2020,26,<5,3.2,No Change,1743,304,2,0.66%,No Change
Braintree,09/23/2020,893,33,6.0,Higher,16283,2457,40,1.63%,Higher
Brewster,09/23/2020,117,<5,0.7,No Change,3465,332,1,0.30%,No Change
Bridgewater,09/23/2020,404,16,4.0,Higher,13487,2463,18,0.73%,Higher
Brimfield,09/23/2020,14,<5,1.9,Lower,1111,194,1,0.52%,Lower
Brockton,09/23/2020,4754,92,6.7,Higher,47721,5324,121,2.27%,Lower
Brookfield,09/23/2020,26,0,0,No Change,1246,153,0,0%,No Change
Brookline,09/23/2020,477,15,1.7,Lower,29734,7425,15,0.20%,Lower
Buckland,09/23/2020,8,0,0,No Change,97,12,0,0%,No Change
Burlington,09/23/2020,294,<5,1.0,No Change,9186,1457,6,0.41%,No Change
Cambridge,09/23/2020,1161,38,2.4,No Change,112699,34763,48,0.14%,No Change
Canton,09/23/2020,358,15,4.6,Higher,11093,1581,17,1.08%,Higher
Carlisle,09/23/2020,22,<5,1.5,Higher,1740,265,1,0.38%,Higher
Carver,09/23/2020,78,<5,2.3,Lower,3410,440,5,1.14%,Lower
Charlemont,09/23/2020,<5,<5,6.0,Higher,442,76,1,1.32%,Higher
Charlton,09/23/2020,115,<5,1.0,Higher,5862,938,2,0.21%,No Change
Chatham,09/23/2020,33,<5,3.7,Lower,1941,198,3,1.52%,Lower
Chelmsford,09/23/2020,426,27,5.4,Lower,14291,1735,30,1.73%,Lower
Chelsea,09/23/2020,3556,118,22.4,Lower,29465,3858,155,4.02%,Lower
Cheshire,09/23/2020,<5,0,0,No Change,966,144,0,0%,No Change
Chester,09/23/2020,6,<5,5.3,No Change,306,47,2,4.26%,No Change
Chesterfield,09/23/2020,5,0,0,No Change,326,59,0,0%,No Change
Chicopee,09/23/2020,625,19,2.4,Higher,19844,2960,28,0.95%,Higher
Chilmark,09/23/2020,<5,<5,9.2,No Change,1333,126,1,0.79%,No Change
Clarksburg,09/23/2020,9,0,0,No Change,387,60,0,0%,No Change
Clinton,09/23/2020,305,13,6.6,Lower,5688,711,13,1.83%,Lower
Cohasset,09/23/2020,36,0,0,Lower,2395,429,0,0%,Lower
Colrain,09/23/2020,<5,<5,4.4,Higher,474,93,1,1.08%,Higher
Concord,09/23/2020,195,<5,1.1,Higher,10138,1572,3,0.19%,Higher
Conway,09/23/2020,<5,0,0,No Change,699,119,0,0%,No Change
Cummington,09/23/2020,<5,0,0,No Change,310,50,0,0%,No Change
Dalton,09/23/2020,22,<5,2.2,Higher,1983,233,2,0.86%,Higher
Danvers,09/23/2020,793,12,3.0,Lower,13826,1503,15,1.00%,Lower
Dartmouth,09/23/2020,467,22,4.3,Higher,13849,2629,31,1.18%,Higher
Dedham,09/23/2020,508,22,5.8,Lower,13704,3622,28,0.77%,Lower
Deerfield,09/23/2020,18,0,0,No Change,4367,2078,0,0%,No Change
Dennis,09/23/2020,107,<5,2.2,No Change,3911,418,4,0.96%,Lower
Dighton,09/23/2020,73,<5,0.9,Lower,2350,322,1,0.31%,Lower
Douglas,09/23/2020,56,<5,1.5,Higher,2585,423,2,0.47%,Higher
Dover,09/23/2020,23,<5,1.4,Higher,2218,450,1,0.22%,Higher
Dracut,09/23/2020,537,27,6.0,Higher,13440,1653,31,1.88%,Higher
Dudley,09/23/2020,108,<5,1.7,No Change,9591,3096,3,0.10%,No Change
Dunstable,09/23/2020,10,0,0,No Change,925,146,0,0%,No Change
Duxbury,09/23/2020,145,13,6.1,Lower,5934,807,13,1.61%,Lower
East Bridgewater,09/23/2020,208,7,3.4,Lower,4491,588,8,1.36%,Lower
East Brookfield,09/23/2020,13,0,0,No Change,673,108,0,0%,No Change
East Longmeadow,09/23/2020,310,13,5.5,Higher,6867,1125,16,1.42%,Higher
Eastham,09/23/2020,14,0,0,No Change,1271,139,0,0%,No Change
Easthampton,09/23/2020,129,<5,1.8,Lower,9918,2779,7,0.25%,No Change
Easton,09/23/2020,342,10,3.0,Lower,19502,5212,11,0.21%,No Change
Edgartown,09/23/2020,15,<5,3.5,No Change,3515,356,2,0.56%,No Change
Egremont,09/23/2020,7,0,0,No Change,305,44,0,0%,No Change
Erving,09/23/2020,6,0,0,No Change,632,133,0,0%,No Change
Essex,09/23/2020,26,<5,1.9,Higher,1042,120,1,0.83%,Higher
Everett,09/23/2020,2227,81,11.9,Lower,24706,3512,104,2.96%,Lower
Fairhaven,09/23/2020,270,10,4.5,Higher,6615,778,11,1.41%,Higher
Fall River,09/23/2020,2080,95,7.6,Higher,40533,4475,130,2.91%,Lower
Falmouth,09/23/2020,265,12,2.7,No Change,13562,1803,15,0.83%,No Change
Fitchburg,09/23/2020,879,9,1.5,Lower,17714,2032,16,0.79%,Lower
Florida,09/23/2020,<5,0,0,No Change,144,23,0,0%,No Change
Foxborough,09/23/2020,162,7,2.8,Lower,12445,2185,10,0.46%,No Change
Framingham,09/23/2020,2203,130,12.5,Higher,30654,4426,147,3.32%,Higher
Franklin,09/23/2020,189,13,2.7,Higher,10305,1553,15,0.97%,Higher
Freetown,09/23/2020,121,<5,2.4,No Change,2656,373,4,1.07%,Lower
Gardner,09/23/2020,213,5,1.8,Lower,10432,1113,7,0.63%,No Change
Georgetown,09/23/2020,76,<5,1.6,Lower,2879,416,4,0.96%,Lower
Gill,09/23/2020,<5,0,0,No Change,1289,410,0,0%,No Change
Gloucester,09/23/2020,294,<5,0.7,Lower,8925,1044,3,0.29%,Lower
Goshen,09/23/2020,5,0,0,No Change,174,32,0,0%,No Change
Gosnold,09/23/2020,5,0,0,No Change,110,2,0,0%,No Change
Grafton,09/23/2020,117,<5,1.4,Higher,7203,1417,4,0.28%,Higher
Granby,09/23/2020,47,<5,1.2,Lower,2289,468,1,0.21%,Lower
Granville,09/23/2020,12,0,0,No Change,482,68,0,0%,No Change
Great Barrington,09/23/2020,83,5,5.3,No Change,6149,1188,8,0.67%,Higher
Greenfield,09/23/2020,229,<5,1.6,Higher,7737,1204,4,0.33%,Higher
Groton,09/23/2020,48,<5,1.2,Higher,5010,1192,2,0.17%,No Change
Groveland,09/23/2020,48,<5,2.1,Lower,2203,320,4,1.25%,Higher
Hadley,09/23/2020,50,0,0,No Change,4899,1064,0,0%,Lower
Halifax,09/23/2020,68,5,4.7,Higher,2396,363,6,1.65%,Higher
Hamilton,09/23/2020,48,<5,1.0,No Change,2554,345,1,0.29%,Lower
Hampden,09/23/2020,103,<5,1.4,No Change,1946,336,1,0.30%,No Change
Hancock,09/23/2020,<5,<5,11.0,No Change,80,13,1,7.69%,Lower
Hanover,09/23/2020,95,7,3.5,Lower,4289,760,11,1.45%,No Change
Hanson,09/23/2020,126,5,3.3,No Change,3336,470,6,1.28%,Higher
Hardwick,09/23/2020,10,0,0,No Change,739,126,0,0%,No Change
Harvard,09/23/2020,20,<5,1.0,Lower,2048,339,2,0.59%,Lower
Harwich,09/23/2020,149,<5,1.1,Lower,4404,392,2,0.51%,Lower
Hatfield,09/23/2020,21,0,0,No Change,1297,212,0,0%,No Change
Haverhill,09/23/2020,1445,52,5.6,Lower,28160,3732,66,1.77%,No Change
Hawley,09/23/2020,0,0,0,No Change,39,2,0,0%,No Change
Heath,09/23/2020,0,0,0,No Change,135,33,0,0%,No Change
Hingham,09/23/2020,333,25,7.5,No Change,9165,1570,27,1.72%,Lower
Hinsdale,09/23/2020,5,0,0,No Change,711,99,0,0%,No Change
Holbrook,09/23/2020,224,9,5.7,Higher,3980,525,9,1.71%,Higher
Holden,09/23/2020,160,11,4.2,Higher,8365,1332,12,0.90%,Higher
Holland,09/23/2020,12,0,0,No Change,744,125,0,0%,No Change
Holliston,09/23/2020,93,16,8.3,Higher,5362,922,16,1.74%,Higher
Holyoke,09/23/2020,1112,23,4.0,Higher,21138,2484,30,1.21%,Higher
Hopedale,09/23/2020,57,<5,3.8,Lower,2464,339,3,0.88%,Lower
Hopkinton,09/23/2020,142,<5,0.4,Higher,6522,1022,1,0.10%,Higher
Hubbardston,09/23/2020,8,0,0,No Change,1410,217,0,0%,No Change
Hudson,09/23/2020,238,10,3.4,Higher,7103,966,10,1.04%,Higher
Hull,09/23/2020,76,6,4.3,Higher,3031,402,6,1.49%,Lower
Huntington,09/23/2020,19,<5,6.5,Lower,747,109,2,1.83%,Lower
Ipswich,09/23/2020,88,<5,1.6,Higher,4878,637,4,0.63%,Higher
Kingston,09/23/2020,155,<5,2.1,Higher,4966,545,6,1.10%,Higher
Lakeville,09/23/2020,79,<5,1.3,Lower,3405,464,6,1.29%,Lower
Lancaster,09/23/2020,115,<5,2.5,Lower,2916,411,3,0.73%,Lower
Lanesborough,09/23/2020,8,0,0,No Change,891,142,0,0%,No Change
Lawrence,09/23/2020,4538,273,22.1,Lower,47598,5980,351,5.87%,Lower
Lee,09/23/2020,22,0,0,No Change,1854,196,0,0%,No Change
Leicester,09/23/2020,175,<5,2.5,No Change,4832,851,5,0.59%,No Change
Lenox,09/23/2020,19,0,0,No Change,2306,227,0,0%,No Change
Leominster,09/23/2020,774,10,1.8,Lower,17553,2063,21,1.02%,No Change
Leverett,09/23/2020,<5,0,0,No Change,1035,258,0,0%,No Change
Lexington,09/23/2020,353,6,1.3,Lower,11680,2076,7,0.34%,Lower
Leyden,09/23/2020,0,0,0,No Change,53,14,0,0%,No Change
Lincoln,09/23/2020,48,0,0,Lower,2826,429,0,0%,Lower
Littleton,09/23/2020,114,<5,2.9,Higher,3946,605,5,0.83%,Higher
Longmeadow,09/23/2020,254,<5,1.8,Higher,6835,1071,5,0.47%,Higher
Lowell,09/23/2020,3339,129,7.9,Higher,55339,6785,152,2.24%,Higher
Ludlow,09/23/2020,166,10,3.4,Higher,7436,1228,11,0.90%,Higher
Lunenburg,09/23/2020,78,<5,2.1,Higher,3657,469,3,0.64%,Higher
Lynn,09/23/2020,4792,160,11.3,Lower,50717,5641,232,4.11%,Lower
Lynnfield,09/23/2020,135,9,5.5,Lower,4908,744,14,1.88%,Lower
Malden,09/23/2020,1494,45,4.7,Lower,29220,4937,59,1.20%,Lower
Manchester,09/23/2020,23,<5,2.9,Higher,1592,255,2,0.78%,Higher
Mansfield,09/23/2020,211,8,2.4,Lower,8038,1391,9,0.65%,Lower
Marblehead,09/23/2020,269,5,1.9,Higher,8292,1085,6,0.55%,Higher
Marion,09/23/2020,20,<5,3.1,Higher,4397,1224,2,0.16%,Higher
Marlborough,09/23/2020,1188,51,8.4,Higher,19160,2317,64,2.76%,Higher
Marshfield,09/23/2020,202,10,2.8,Higher,7948,1062,14,1.32%,Higher
Mashpee,09/23/2020,83,5,2.3,Higher,5427,605,5,0.83%,Higher
Mattapoisett,09/23/2020,46,0,0,Lower,1959,272,0,0%,Lower
Maynard,09/23/2020,92,<5,2.7,Higher,4142,591,4,0.68%,Higher
Medfield,09/23/2020,49,7,4.4,Higher,4655,898,7,0.78%,Higher
Medford,09/23/2020,1223,37,4.3,Lower,43095,11994,45,0.38%,No Change
Medway,09/23/2020,136,<5,1.1,Higher,4624,701,2,0.29%,Higher
Melrose,09/23/2020,321,21,5.2,Higher,14475,2385,24,1.01%,Higher
Mendon,09/23/2020,39,0,0,Lower,1959,345,1,0.29%,Lower
Merrimac,09/23/2020,42,0,0,Lower,2196,338,1,0.30%,Lower
Methuen,09/23/2020,1262,59,7.9,No Change,22674,3237,78,2.41%,No Change
Middleborough,09/23/2020,320,10,2.7,Lower,8473,906,12,1.32%,Lower
Middlefield,09/23/2020,0,0,0,No Change,58,13,0,0%,No Change
Middleton,09/23/2020,188,6,4.2,Higher,3368,421,6,1.43%,Higher
Milford,09/23/2020,743,20,4.9,Higher,12342,1392,25,1.80%,Higher
Millbury,09/23/2020,236,<5,2.1,Higher,4944,711,6,0.84%,Higher
Millis,09/23/2020,61,6,5.4,Higher,2709,437,7,1.60%,Higher
Millville,09/23/2020,27,0,0,Lower,859,119,1,0.84%,Lower
Milton,09/23/2020,370,10,2.5,No Change,18236,4278,13,0.30%,No Change
Monroe,09/23/2020,<5,0,0,Lower,26,5,1,20.00%,Lower
Monson,09/23/2020,63,8,6.8,Lower,2731,566,12,2.12%,Lower
Montague,09/23/2020,29,0,0,No Change,3106,567,0,0%,No Change
Monterey,09/23/2020,<5,<5,15.3,Higher,321,60,2,3.33%,Higher
Montgomery,09/23/2020,7,0,0,Lower,90,15,0,0%,Lower
Mount Washington,09/23/2020,0,0,0,No Change,15,2,0,0%,No Change
Nahant,09/23/2020,47,0,0,No Change,1443,208,0,0%,Lower
Nantucket,09/23/2020,88,42,26.5,Higher,5364,1127,42,3.73%,Lower
Natick,09/23/2020,482,17,3.4,Higher,14513,2454,20,0.81%,Higher
Needham,09/23/2020,390,11,2.7,Higher,14489,2840,11,0.39%,Higher
New Ashford,09/23/2020,0,0,0,No Change,47,8,0,0%,No Change
New Bedford,09/23/2020,2627,131,9.4,Lower,39665,4732,181,3.83%,Lower
New Braintree,09/23/2020,<5,0,0,No Change,270,42,0,0%,No Change
New Marlborough,09/23/2020,9,0,0,No Change,309,41,0,0%,No Change
New Salem,09/23/2020,<5,0,0,No Change,354,60,0,0%,No Change
Newbury,09/23/2020,22,<5,2.1,Higher,2288,349,2,0.57%,Higher
Newburyport,09/23/2020,141,11,4.4,Higher,7979,1076,11,1.02%,Higher
Newton,09/23/2020,963,52,4.0,Higher,63622,14336,63,0.44%,No Change
Norfolk,09/23/2020,43,<5,0.6,Lower,4874,548,1,0.18%,Lower
North Adams,09/23/2020,61,<5,2.2,Higher,5712,1767,5,0.28%,No Change
North Andover,09/23/2020,440,26,6.1,Higher,26334,6730,27,0.40%,No Change
North Attleborough,09/23/2020,335,16,3.8,Lower,8527,1363,20,1.47%,Lower
North Brookfield,09/23/2020,25,<5,1.5,Higher,1473,205,1,0.49%,Higher
North Reading,09/23/2020,221,6,2.6,Higher,6109,1012,6,0.59%,Higher
Northampton,09/23/2020,322,0,0,Lower,18005,3871,1,0.03%,No Change
Northborough,09/23/2020,246,11,5.7,Higher,5944,829,11,1.33%,Higher
Northbridge,09/23/2020,346,6,2.4,No Change,6142,837,7,0.84%,Lower
Northfield,09/23/2020,<5,0,0,No Change,1276,232,0,0%,No Change
Norton,09/23/2020,180,7,2.5,Lower,16253,5088,8,0.16%,Lower
Norwell,09/23/2020,141,5,3.3,No Change,3868,661,5,0.76%,Lower
Norwood,09/23/2020,672,28,6.6,Higher,13297,2021,34,1.68%,Higher
Oak Bluffs,09/23/2020,10,0,0,No Change,2284,218,0,0%,No Change
Oakham,09/23/2020,11,0,0,Lower,608,81,0,0%,Lower
Orange,09/23/2020,50,<5,0.9,Higher,2903,371,1,0.27%,Higher
Orleans,09/23/2020,21,<5,1.3,Lower,1562,192,1,0.52%,Lower
Otis,09/23/2020,<5,0,0,No Change,376,49,0,0%,No Change
Oxford,09/23/2020,96,0,0,Lower,4367,668,1,0.15%,Lower
Palmer,09/23/2020,79,6,3.6,Lower,3914,669,9,1.35%,Higher
Paxton,09/23/2020,45,<5,4.3,Lower,5563,1825,4,0.22%,No Change
Peabody,09/23/2020,1180,21,2.7,Higher,23364,3195,27,0.85%,Lower
Pelham,09/23/2020,<5,0,0,No Change,329,47,0,0%,No Change
Pembroke,09/23/2020,117,6,2.3,Higher,5267,724,7,0.97%,Higher
Pepperell,09/23/2020,69,6,3.5,Higher,3306,480,6,1.25%,Higher
Peru,09/23/2020,<5,0,0,No Change,147,19,0,0%,No Change
Petersham,09/23/2020,8,0,0,No Change,389,57,0,0%,No Change
Phillipston,09/23/2020,19,0,0,Lower,468,51,0,0%,Lower
Pittsfield,09/23/2020,230,<5,0.6,Higher,16055,2149,5,0.23%,No Change
Plainfield,09/23/2020,<5,0,0,No Change,205,28,0,0%,No Change
Plainville,09/23/2020,90,9,7.0,Lower,2936,480,10,2.08%,Lower
Plymouth,09/23/2020,695,27,3.1,Lower,20988,2474,30,1.21%,Lower
Plympton,09/23/2020,12,0,0,No Change,831,122,0,0%,No Change
Princeton,09/23/2020,8,0,0,No Change,1414,245,0,0%,No Change
Provincetown,09/23/2020,29,<5,2.7,Higher,1612,123,1,0.81%,Higher
Quincy,09/23/2020,1438,52,3.7,Higher,38971,6083,67,1.10%,No Change
Randolph,09/23/2020,1040,10,2.1,Lower,15884,1958,14,0.72%,Lower
Raynham,09/23/2020,259,7,3.3,Higher,5352,707,8,1.13%,Higher
Reading,09/23/2020,336,10,2.6,Higher,10387,1681,10,0.59%,Higher
Rehoboth,09/23/2020,84,6,3.4,Higher,2941,438,6,1.37%,Higher
Revere,09/23/2020,2582,154,18.1,Lower,32137,4636,200,4.31%,Lower
Richmond,09/23/2020,6,<5,5.4,Higher,431,68,1,1.47%,Higher
Rochester,09/23/2020,44,<5,2.5,Higher,1563,207,2,0.97%,Higher
Rockland,09/23/2020,329,14,5.5,Higher,5826,770,18,2.34%,Higher
Rockport,09/23/2020,87,<5,1.1,No Change,2157,283,2,0.71%,Higher
Rowe,09/23/2020,0,0,0,No Change,109,16,0,0%,No Change
Rowley,09/23/2020,70,<5,1.2,Higher,2490,307,1,0.33%,Higher
Royalston,09/23/2020,<5,0,0,No Change,351,45,0,0%,No Change
Russell,09/23/2020,22,0,0,No Change,476,71,0,0%,Lower
Rutland,09/23/2020,64,5,4.0,Higher,3296,606,6,0.99%,Higher
Salem,09/23/2020,818,25,4.0,Lower,22447,3381,38,1.12%,No Change
Salisbury,09/23/2020,67,<5,0.8,Lower,2720,339,3,0.88%,Lower
Sandisfield,09/23/2020,7,0,0,No Change,491,50,0,0%,No Change
Sandwich,09/23/2020,109,<5,0.3,No Change,5781,834,1,0.12%,No Change
Saugus,09/23/2020,702,34,8.5,No Change,12843,1949,41,2.10%,No Change
Savoy,09/23/2020,<5,0,0,No Change,156,22,0,0%,No Change
Scituate,09/23/2020,224,12,4.7,Higher,6197,903,16,1.77%,Higher
Seekonk,09/23/2020,124,10,5.1,Higher,3519,474,14,2.95%,Higher
Sharon,09/23/2020,184,<5,1.6,Lower,7153,1120,5,0.45%,Lower
Sheffield,09/23/2020,17,<5,2.3,No Change,1230,261,1,0.38%,Lower
Shelburne,09/23/2020,9,0,0,No Change,1221,206,0,0%,No Change
Sherborn,09/23/2020,22,<5,1.9,Lower,1582,251,1,0.40%,Lower
Shirley,09/23/2020,185,<5,3.4,No Change,4325,330,4,1.21%,No Change
Shrewsbury,09/23/2020,393,13,2.4,Higher,15239,2621,14,0.53%,Higher
Shutesbury,09/23/2020,<5,0,0,No Change,768,165,0,0%,No Change
Somerset,09/23/2020,239,7,2.7,Lower,6987,808,7,0.87%,Lower
Somerville,09/23/2020,1245,53,4.9,Lower,69074,19717,69,0.35%,Lower
South Hadley,09/23/2020,214,<5,0.4,No Change,8225,1831,2,0.11%,Lower
Southampton,09/23/2020,35,0,0,No Change,2074,373,0,0%,No Change
Southborough,09/23/2020,44,0,0,No Change,4027,753,2,0.27%,Higher
Southbridge,09/23/2020,205,5,2.1,No Change,6269,813,6,0.74%,Lower
Southwick,09/23/2020,68,<5,2.9,Higher,3066,425,5,1.18%,Higher
Spencer,09/23/2020,96,9,5.6,Higher,4272,686,11,1.60%,Higher
Springfield,09/23/2020,3406,95,4.3,Higher,65367,10714,118,1.10%,No Change
Sterling,09/23/2020,132,<5,1.8,No Change,3945,707,4,0.57%,No Change
Stockbridge,09/23/2020,15,0,0,No Change,751,90,0,0%,No Change
Stoneham,09/23/2020,445,17,5.4,Higher,10299,1551,18,1.16%,Higher
Stoughton,09/23/2020,661,16,4.1,Higher,11195,1372,21,1.53%,Higher
Stow,09/23/2020,29,0,0,Lower,2739,439,0,0%,Lower
Sturbridge,09/23/2020,54,<5,1.4,No Change,3028,451,2,0.44%,No Change
Sudbury,09/23/2020,220,<5,1.6,Higher,7399,1081,4,0.37%,Higher
Sunderland,09/23/2020,10,0,0,No Change,3821,1384,0,0%,No Change
Sutton,09/23/2020,74,<5,1.6,Lower,3174,571,2,0.35%,Lower
Swampscott,09/23/2020,168,5,2.6,No Change,6284,916,5,0.55%,No Change
Swansea,09/23/2020,178,5,2.2,Higher,5238,615,7,1.14%,No Change
Taunton,09/23/2020,1116,32,4.0,Higher,23855,2861,36,1.26%,Higher
Templeton,09/23/2020,127,0,0,No Change,3134,384,0,0%,No Change
Tewksbury,09/23/2020,643,6,1.4,Lower,14820,2023,9,0.44%,No Change
Tisbury,09/23/2020,15,<5,1.7,No Change,4312,433,1,0.23%,No Change
Tolland,09/23/2020,<5,0,0,No Change,50,4,0,0%,No Change
Topsfield,09/23/2020,123,<5,1.2,No Change,3006,430,1,0.23%,No Change
Townsend,09/23/2020,43,<5,0.8,No Change,2897,392,2,0.51%,No Change
Truro,09/23/2020,12,0,0,Lower,685,57,0,0%,Lower
Tyngsborough,09/23/2020,132,14,8.3,Lower,4231,632,17,2.69%,Lower
Tyringham,09/23/2020,<5,0,0,Lower,96,11,0,0%,Lower
Upton,09/23/2020,32,<5,3.2,Higher,2280,413,4,0.97%,Higher
Uxbridge,09/23/2020,90,<5,1.9,Higher,4326,629,4,0.64%,Higher
Wakefield,09/23/2020,357,9,2.4,No Change,11742,1757,14,0.80%,No Change
Wales,09/23/2020,5,0,0,No Change,474,59,0,0%,No Change
Walpole,09/23/2020,288,16,4.4,Higher,10170,1579,18,1.14%,Higher
Waltham,09/23/2020,1380,32,3.4,Lower,47866,14455,39,0.27%,No Change
Ware,09/23/2020,45,<5,0.7,Lower,3397,572,1,0.17%,Lower
Wareham,09/23/2020,240,7,2.1,Higher,6580,720,7,0.97%,No Change
Warren,09/23/2020,29,0,0,Lower,1347,225,0,0%,Lower
Warwick,09/23/2020,0,0,0,No Change,221,35,0,0%,No Change
Washington,09/23/2020,<5,0,0,No Change,112,12,0,0%,No Change
Watertown,09/23/2020,444,18,3.9,Higher,15549,2861,19,0.66%,Higher
Wayland,09/23/2020,121,<5,2.2,Higher,5727,947,4,0.42%,Higher
Webster,09/23/2020,291,<5,1.2,Higher,7928,1087,3,0.28%,Higher
Wellesley,09/23/2020,285,10,2.4,Higher,27614,8873,10,0.11%,No Change
Wellfleet,09/23/2020,8,<5,2.6,No Change,910,87,1,1.15%,No Change
Wendell,09/23/2020,0,0,0,No Change,336,57,0,0%,No Change
Wenham,09/23/2020,32,<5,5.5,Higher,3024,351,4,1.14%,Higher
West Boylston,09/23/2020,67,<5,0.9,Lower,2939,410,1,0.24%,Lower
West Bridgewater,09/23/2020,157,<5,3.0,Lower,3280,376,3,0.80%,Lower
West Brookfield,09/23/2020,26,0,0,No Change,1955,238,0,0%,No Change
West Newbury,09/23/2020,15,0,0,No Change,1475,248,0,0%,No Change
West Springfield,09/23/2020,457,16,3.9,Higher,9979,1409,22,1.56%,No Change
West Stockbridge,09/23/2020,11,<5,12.0,Higher,474,78,5,6.41%,Higher
West Tisbury,09/23/2020,15,<5,2.5,Higher,1606,194,1,0.52%,Higher
Westborough,09/23/2020,389,16,6.1,Higher,7884,1378,20,1.45%,No Change
Westfield,09/23/2020,534,13,2.2,Higher,13744,1916,18,0.94%,Higher
Westford,09/23/2020,198,19,5.9,Higher,8518,1271,21,1.65%,Higher
Westhampton,09/23/2020,10,0,0,No Change,340,52,0,0%,No Change
Westminster,09/23/2020,39,<5,1.0,Lower,2620,374,1,0.27%,Lower
Weston,09/23/2020,133,7,4.5,Higher,6091,1064,9,0.85%,Higher
Westport,09/23/2020,133,6,2.6,Higher,5359,699,7,1.00%,No Change
Westwood,09/23/2020,169,9,4.4,Higher,6537,1036,10,0.97%,Higher
Weymouth,09/23/2020,862,34,4.3,Lower,19877,2646,42,1.59%,Lower
Whately,09/23/2020,8,0,0,No Change,298,58,0,0%,No Change
Whitman,09/23/2020,220,<5,1.9,Lower,4821,666,6,0.90%,Lower
Wilbraham,09/23/2020,260,11,5.4,Higher,8433,2351,11,0.47%,No Change
Williamsburg,09/23/2020,17,0,0,No Change,1496,238,0,0%,No Change
Williamstown,09/23/2020,95,6,5.8,Higher,12601,5165,6,0.12%,No Change
Wilmington,09/23/2020,373,9,2.6,Lower,8147,1274,12,0.94%,Lower
Winchendon,09/23/2020,91,0,0,Lower,3466,399,0,0%,Lower
Winchester,09/23/2020,137,<5,1.3,Higher,10417,1807,4,0.22%,Higher
Windsor,09/23/2020,0,0,0,No Change,232,32,0,0%,No Change
Winthrop,09/23/2020,405,25,9.5,Higher,11897,2408,33,1.37%,Higher
Woburn,09/23/2020,753,37,6.4,Higher,16372,2421,43,1.78%,Higher
Worcester,09/23/2020,6249,238,8.9,Lower,151629,34906,299,0.86%,No Change
Worthington,09/23/2020,<5,<5,6.7,Higher,385,72,1,1.39%,Higher
Wrentham,09/23/2020,249,19,12.0,Higher,5766,812,21,2.59%,Higher
Yarmouth,09/23/2020,137,<5,0.9,Lower,7413,901,3,0.33%,Lower
