City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Washington,12/17/2020,<5,<5,16.0,No Change,278,31,1,3.23%,Lower
Watertown,12/17/2020,1023,241,52.1,Higher,45230,6545,285,4.35%,Higher
Wayland,12/17/2020,238,47,25.4,Higher,15739,2120,54,2.55%,Higher
Webster,12/17/2020,700,171,71.1,Higher,18808,2374,186,7.83%,Higher
Wellesley,12/17/2020,565,87,20.9,Higher,91886,9268,97,1.05%,No Change
Wellfleet,12/17/2020,25,8,20.7,Higher,1747,154,9,5.84%,Higher
Wendell,12/17/2020,6,<5,20.1,Lower,742,61,3,4.92%,Lower
Wenham,12/17/2020,99,13,17.8,Lower,6515,531,18,3.39%,No Change
West Boylston,12/17/2020,199,47,42.8,Lower,7501,1037,53,5.11%,Lower
West Bridgewater,12/17/2020,311,93,91.2,Higher,8434,1184,102,8.61%,Higher
West Brookfield,12/17/2020,78,24,46.3,Higher,4077,505,26,5.15%,Higher
West Newbury,12/17/2020,78,28,49.5,Higher,3925,500,29,5.80%,Higher
West Springfield,12/17/2020,1233,234,57.0,Higher,25423,3114,265,8.51%,Lower
West Stockbridge,12/17/2020,18,<5,18.2,Lower,1123,138,3,2.17%,Lower
West Tisbury,12/17/2020,47,14,34.8,Higher,3185,266,15,5.64%,Higher
Westborough,12/17/2020,753,166,63.4,Higher,22110,2996,195,6.51%,Higher
Westfield,12/17/2020,1298,221,38.2,Higher,33995,4202,249,5.93%,Higher
Westford,12/17/2020,512,137,42.4,Higher,19840,2246,146,6.50%,Higher
Westhampton,12/17/2020,18,<5,4.2,No Change,773,56,1,1.79%,Higher
Westminster,12/17/2020,168,54,52.7,Higher,6611,847,55,6.49%,Higher
Weston,12/17/2020,246,36,23.4,Higher,17090,2512,40,1.59%,No Change
Westport,12/17/2020,611,135,57.6,Higher,13412,1744,155,8.89%,Higher
Westwood,12/17/2020,381,66,32.1,Lower,16140,1888,71,3.76%,Lower
Weymouth,12/17/2020,1807,465,59.1,Higher,46388,6088,521,8.56%,Higher
Whately,12/17/2020,26,11,54.1,Higher,869,100,13,13.00%,Higher
Whitman,12/17/2020,523,134,61.6,Higher,11836,1631,142,8.71%,Higher
Wilbraham,12/17/2020,582,144,70.8,Higher,23393,2190,168,7.67%,Higher
Williamsburg,12/17/2020,35,10,29.1,Higher,3553,430,10,2.33%,Higher
Williamstown,12/17/2020,136,21,20.9,Higher,43616,1805,23,1.27%,Higher
Wilmington,12/17/2020,899,208,60.7,Higher,21545,2983,228,7.64%,No Change
Winchendon,12/17/2020,248,53,35.2,Higher,7951,1005,56,5.57%,Higher
Winchester,12/17/2020,515,156,50.0,Higher,29700,4671,168,3.60%,Higher
Windsor,12/17/2020,6,<5,8.5,Lower,517,71,1,1.41%,Lower
Winthrop,12/17/2020,1185,283,107.1,Higher,36911,5531,334,6.04%,Higher
Woburn,12/17/2020,1961,458,78.8,Higher,44335,6205,519,8.36%,Higher
Worcester,12/17/2020,12344,2426,90.5,Higher,400118,41795,2675,6.40%,Higher
Worthington,12/17/2020,18,11,75.1,Higher,947,127,13,10.24%,Lower
Wrentham,12/17/2020,470,70,44.4,Higher,14737,1845,72,3.90%,Higher
Yarmouth,12/17/2020,457,128,38.0,Higher,17618,2588,143,5.53%,Higher
Unknown,12/17/2020,824,199,*,*,179317,18087,200,*,*
State,12/17/2020,292316,63445,65.1,Higher,9809105,1202244,72236,6.01%,Higher
Abington,12/3/2020,482,59,23.1,Lower,12073,1340,67,5.00%,No Change
Acton,12/3/2020,337,66,19.9,Higher,18281,2326,77,3.31%,Higher
Acushnet,12/3/2020,311,56,38.3,Lower,7961,1173,62,5.29%,No Change
Adams,12/3/2020,68,14,12.2,No Change,5437,798,15,1.88%,No Change
Agawam,12/3/2020,947,138,34.6,Higher,26437,3274,158,4.83%,Higher
Alford,12/3/2020,<5,0,0,No Change,126,13,0,0%,No Change
Amesbury,12/3/2020,361,76,32.7,Higher,12343,1729,82,4.74%,Higher
Amherst,12/3/2020,577,144,25.5,Lower,168268,17220,172,1.00%,Higher
Andover,12/3/2020,849,164,32.5,Lower,42069,5482,201,3.67%,No Change
Aquinnah,12/3/2020,<5,0,0,No Change,317,33,0,0%,No Change
Arlington,12/3/2020,608,93,14.5,No Change,47109,6276,102,1.63%,No Change
Ashburnham,12/3/2020,90,17,19.3,Lower,5054,512,18,3.52%,Higher
