Report Date,Code,Name,Students,Staff
09/30/2020,06050000,Amherst-Pelham,0,0
09/30/2020,06100000,Ashburnham-Westminster,0,0
09/30/2020,06150000,Athol-Royalston,0,0
09/30/2020,06160000,Ayer Shirley School District,0,0
09/30/2020,06180000,Berkshire Hills,0,0
09/30/2020,06200000,Berlin-Boylston,0,0
09/30/2020,06220000,Blackstone-Millville,0,0
09/30/2020,06250000,Bridgewater-Raynham,0,0
09/30/2020,06320000,Chesterfield-Goshen,0,0
09/30/2020,06350000,Central Berkshire,0,0
09/30/2020,06400000,Concord-Carlisle,0,0
09/30/2020,06450000,Dennis-Yarmouth,0,0
09/30/2020,06500000,Dighton-Rehoboth,0,0
09/30/2020,06550000,Dover-Sherborn,0,0
09/30/2020,06580000,Dudley-Charlton Reg,0,0
09/30/2020,06600000,Nauset,0,0
09/30/2020,06620000,Farmington River Reg,0,0
09/30/2020,06650000,Freetown-Lakeville,1,0
09/30/2020,06700000,Frontier,0,0
09/30/2020,06720000,Gateway,0,0
09/30/2020,06730000,Groton-Dunstable,1,0
09/30/2020,06740000,Gill-Montague,0,0
09/30/2020,06750000,Hamilton-Wenham,0,0
09/30/2020,06800000,Hampden-Wilbraham,0,0
09/30/2020,06830000,Hampshire,0,0
09/30/2020,06850000,Hawlemont,0,0
09/30/2020,06900000,King Philip,0,0
09/30/2020,06950000,Lincoln-Sudbury,0,0
09/30/2020,06980000,Manchester Essex Regional,0,1
09/30/2020,07000000,Martha's Vineyard,0,0
09/30/2020,07050000,Masconomet,0,0
09/30/2020,07100000,Mendon-Upton,0,0
09/30/2020,07120000,Monomoy Regional School District,0,0
09/30/2020,07150000,Mount Greylock,0,0
09/30/2020,07170000,Mohawk Trail,0,0
09/30/2020,07200000,Narragansett,0,0
09/30/2020,07250000,Nashoba,0,0
09/30/2020,07280000,New Salem-Wendell,0,0
09/30/2020,07300000,Northboro-Southboro,0,0
09/30/2020,07350000,North Middlesex,0,0
09/30/2020,07400000,Old Rochester,0,0
09/30/2020,07450000,Pentucket,0,0
09/30/2020,07500000,Pioneer Valley,0,0
09/30/2020,07530000,Quabbin,0,0
09/30/2020,07550000,Ralph C Mahar,0,0
09/30/2020,07600000,Silver Lake,0,0
09/30/2020,07630000,Somerset Berkley Regional School District,0,0
09/30/2020,07650000,Southern Berkshire,0,0
09/30/2020,07660000,Southwick-Tolland-Granville Regional School District,0,0
09/30/2020,07670000,Spencer-E Brookfield,0,0
09/30/2020,07700000,Tantasqua,0,0
09/30/2020,07730000,Triton,1,0
09/30/2020,07740000,Up-Island Regional,0,0
09/30/2020,07750000,Wachusett,0,0
09/30/2020,07780000,Quaboag Regional,0,0
09/30/2020,07800000,Whitman-Hanson,0,0
09/30/2020,08010000,Assabet Valley Regional Vocational Technical,0,0
09/30/2020,08050000,Blackstone Valley Regional Vocational Technical,0,0
09/30/2020,08060000,Blue Hills Regional Vocational Technical,0,0
09/30/2020,08100000,Bristol-Plymouth Regional Vocational Technical,0,1
09/30/2020,08150000,Cape Cod Regional Vocational Technical,0,0
09/30/2020,08170000,Essex North Shore Agricultural and Technical School District,1,1
09/30/2020,08180000,Franklin County Regional Vocational Technical,0,0
09/30/2020,08210000,Greater Fall River Regional Vocational Technical,0,0
09/30/2020,08230000,Greater Lawrence Regional Vocational Technical,0,0
09/30/2020,08250000,Greater New Bedford Regional Vocational Technical,0,0
09/30/2020,08280000,Greater Lowell Regional Vocational Technical,2,0
09/30/2020,08290000,South Middlesex Regional Vocational Technical,0,0
09/30/2020,08300000,Minuteman Regional Vocational Technical,0,0
09/30/2020,08320000,Montachusett Regional Vocational Technical,0,0
09/30/2020,08510000,Northern Berkshire Regional Vocational Technical,0,0
09/30/2020,08520000,Nashoba Valley Regional Vocational Technical,1,0
09/30/2020,08530000,Northeast Metropolitan Regional Vocational Technical,0,0
09/30/2020,08550000,Old Colony Regional Vocational Technical,0,0
09/30/2020,08600000,Pathfinder Regional Vocational Technical,0,0
09/30/2020,08710000,Shawsheen Valley Regional Vocational Technical,0,0
09/30/2020,08720000,Southeastern Regional Vocational Technical,0,0
09/30/2020,08730000,South Shore Regional Vocational Technical,1,0
09/30/2020,08760000,Southern Worcester County Regional Vocational Technical,2,0
09/30/2020,08780000,Tri-County Regional Vocational Technical,0,0
09/30/2020,08790000,Upper Cape Cod Regional Vocational Technical,0,0
09/30/2020,08850000,Whittier Regional Vocational Technical,1,0
09/30/2020,09100000,Bristol County Agricultural,0,0
09/30/2020,09150000,Norfolk County Agricultural,0,0
09/30/2020,35010000,Paulo Freire Social Justice Charter School (District),0,0
09/30/2020,35020000,Baystate Academy Charter Public School (District),0,0
09/30/2020,35030000,Collegiate Charter School of Lowell (District),0,0
09/30/2020,35050000,UP Academy Charter School of Dorchester (District),0,0
09/30/2020,35060000,Pioneer Charter School of Science II (PCSS-II) (District),0,0
09/30/2020,35080000,Phoenix Academy Public Charter High School Springfield (District),0,0
09/30/2020,35090000,Argosy Collegiate Charter School (District),0,0
09/30/2020,35100000,Springfield Preparatory Charter School (District),0,0
09/30/2020,35130000,New Heights Charter School of Brockton (District),0,0
09/30/2020,35140000,Libertas Academy Charter School (District),0,0
09/30/2020,35150000,Old Sturbridge Academy Charter Public School (District),0,0
09/30/2020,35160000,Hampden Charter School of Science West (District),0,0
09/30/2020,35170000,Map Academy Charter School (District),0,0
09/30/2020,35180000,Phoenix Academy Public Charter High School Lawrence (District),0,0
09/30/2020,39010000,Greenfield Commonwealth Virtual District,0,0
