City/Town,Report Date,Total Case Count,Total Case Rate,Total Persons Tested,TotalTested Rate,Percent Positive (Last 14 days),,,,,,,,
Easthampton,07/08/2020,86,530.42,1549,9553.75,1.27%,,,,,,,,
Easton,07/08/2020,275,1160.42,2644,11156.93,1.53%,,,,,,,,
Edgartown,07/08/2020,8,195.04,1032,25160.75,0.26%,,,,,,,,
Egremont,07/08/2020,5,456.27,79,7209.10,0.00%,,,,,,,,
Erving,07/08/2020,6,286.53,161,7688.51,0.00%,,,,,,,,
Essex,07/08/2020,24,645.04,327,8788.70,0.00%,,,,,,,,
Everett,07/08/2020,1770,3646.75,7435,15318.40,4.47%,,,,,,,,
Fairhaven,07/08/2020,243,1515.86,2454,15308.27,1.61%,,,,,,,,
Fall River,07/08/2020,1622,1813.36,13468,15056.93,6.17%,,,,,,,,
Falmouth,07/08/2020,204,652.77,4149,13276.18,1.38%,,,,,,,,
Fitchburg,07/08/2020,800,1897.86,6394,15168.67,4.82%,,,,,,,,
Florida,07/08/2020,<5,*,41,5223.09,0.00%,,,,,,,,
Foxborough,07/08/2020,116,640.43,1752,9672.71,0.86%,,,,,,,,
Framingham,07/08/2020,1745,2343.34,9858,13238.21,1.82%,,,,,,,,
Franklin,07/08/2020,137,405.18,2716,8032.61,1.08%,,,,,,,,
Freetown,07/08/2020,102,1127.29,906,10012.95,4.82%,,,,,,,,
Gardner,07/08/2020,195,975.49,3895,19484.85,0.86%,,,,,,,,
Georgetown,07/08/2020,61,682.80,750,8395.04,2.01%,,,,,,,,
Gill,07/08/2020,<5,*,93,5582.38,0.00%,,,,,,,,
Gloucester,07/08/2020,258,901.31,2687,9386.92,0.56%,,,,,,,,
Goshen,07/08/2020,<5,*,34,2963.45,0.00%,,,,,,,,
Gosnold,07/08/2020,0,0.00,0,0.00,0.00%,,,,,,,,
Grafton,07/08/2020,98,491.37,1612,8082.50,1.99%,,,,,,,,
Granby,07/08/2020,31,504.76,455,7408.60,3.60%,,,,,,,,
Granville,07/08/2020,13,835.31,145,9316.94,9.38%,,,,,,,,
Great Barrington,07/08/2020,73,1074.20,1208,17775.83,0.63%,,,,,,,,
Greenfield,07/08/2020,206,1186.33,2209,12721.41,0.74%,,,,,,,,
Groton,07/08/2020,43,369.24,1028,8827.48,0.00%,,,,,,,,
Groveland,07/08/2020,38,556.07,619,9058.10,5.95%,,,,,,,,
Hadley,07/08/2020,45,782.56,763,13268.77,0.75%,,,,,,,,
Halifax,07/08/2020,56,732.85,773,10115.95,0.00%,,,,,,,,
Hamilton,07/08/2020,37,495.05,681,9111.57,1.27%,,,,,,,,
Hampden,07/08/2020,98,1983.49,516,10443.70,1.47%,,,,,,,,
Hancock,07/08/2020,<5,*,19,2923.51,0.00%,,,,,,,,
Hanover,07/08/2020,78,544.51,1319,9207.79,2.17%,,,,,,,,
Hanson,07/08/2020,110,1027.39,1081,10096.45,1.19%,,,,,,,,
Hardwick,07/08/2020,9,271.78,197,5949.00,0.00%,,,,,,,,
Harvard,07/08/2020,18,259.84,462,6669.24,0.00%,,,,,,,,
Harwich,07/08/2020,128,1018.86,1516,12067.11,3.37%,,,,,,,,
Hatfield,07/08/2020,17,523.54,304,9362.10,0.00%,,,,,,,,
Haverhill,07/08/2020,1247,1893.83,9285,14101.18,3.65%,,,,,,,,
Hawley,07/08/2020,0,0.00,10,3413.88,0.00%,,,,,,,,
Heath,07/08/2020,0,0.00,30,4972.23,0.00%,,,,,,,,
Hingham,07/08/2020,281,1181.28,2801,11775.00,1.18%,,,,,,,,
Hinsdale,07/08/2020,<5,*,204,9592.46,3.23%,,,,,,,,
Holbrook,07/08/2020,194,1717.57,1432,12678.13,2.65%,,,,,,,,
Holden,07/08/2020,122,646.84,2150,11399.24,0.34%,,,,,,,,
Holland,07/08/2020,8,312.46,149,5819.59,0.00%,,,,,,,,
Holliston,07/08/2020,56,406.25,1340,9721.09,0.00%,,,,,,,,
Holyoke,07/08/2020,925,2244.91,6336,15377.00,2.99%,,,,,,,,
Hopedale,07/08/2020,42,739.56,779,13717.15,0.00%,,,,,,,,
Hopkinton,07/08/2020,131,802.97,1725,10573.46,3.03%,,,,,,,,
Hubbardston,07/08/2020,7,150.19,397,8518.01,1.32%,,,,,,,,
Hudson,07/08/2020,191,911.85,2042,9748.65,0.59%,,,,,,,,
Hull,07/08/2020,51,516.38,955,9669.43,1.35%,,,,,,,,
Huntington,07/08/2020,15,678.31,186,8411.08,0.00%,,,,,,,,
Ipswich,07/08/2020,70,520.57,1466,10902.12,0.00%,,,,,,,,
Kingston,07/08/2020,137,1010.07,1527,11258.25,2.60%,,,,,,,,
Lakeville,07/08/2020,62,549.13,1019,9025.14,2.46%,,,,,,,,
Lancaster,07/08/2020,101,1178.83,802,9360.63,1.85%,,,,,,,,
Lanesborough,07/08/2020,8,262.63,240,7878.85,0.00%,,,,,,,,
Lawrence,07/08/2020,3639,4126.98,16774,19023.34,7.05%,,,,,,,,
Lee,07/08/2020,19,323.14,613,10425.53,0.00%,,,,,,,,
Leicester,07/08/2020,151,1340.57,1248,11079.67,1.29%,,,,,,,,
Lenox,07/08/2020,13,266.47,871,17853.37,0.00%,,,,,,,,
Leominster,07/08/2020,702,1729.40,6337,15611.43,3.71%,,,,,,,,
Leverett,07/08/2020,<5,*,172,8515.41,0.00%,,,,,,,,
Lexington,07/08/2020,327,960.49,3043,8938.14,1.53%,,,,,,,,
Leyden,07/08/2020,0,0.00,14,2232.71,0.00%,,,,,,,,
Lincoln,07/08/2020,41,473.83,776,8968.02,1.49%,,,,,,,,
Littleton,07/08/2020,100,1029.00,963,9909.25,1.09%,,,,,,,,
Longmeadow,07/08/2020,219,1412.01,1647,10619.13,1.13%,,,,,,,,
Lowell,07/08/2020,2924,2502.17,20214,17297.81,4.10%,,,,,,,,
Ludlow,07/08/2020,126,603.91,2139,10252.09,0.59%,,,,,,,,
Lunenburg,07/08/2020,64,614.98,1115,10714.03,1.24%,,,,,,,,
Lynn,07/08/2020,3666,3633.18,15764,15622.89,4.81%,,,,,,,,
Lynnfield,07/08/2020,98,841.27,1341,11511.71,1.86%,,,,,,,,
Malden,07/08/2020,1250,1844.92,8797,12983.79,3.11%,,,,,,,,
Manchester,07/08/2020,20,404.34,391,7904.78,0.00%,,,,,,,,
Mansfield,07/08/2020,165,698.08,2306,9756.25,1.31%,,,,,,,,
Marblehead,07/08/2020,237,1233.25,2405,12514.59,1.89%,,,,,,,,
Marion,07/08/2020,13,280.14,653,14071.74,0.00%,,,,,,,,
Marlborough,07/08/2020,995,2290.57,5969,13741.10,2.70%,,,,,,,,
Marshfield,07/08/2020,169,653.53,2472,9559.34,0.00%,,,,,,,,
Mashpee,07/08/2020,64,416.18,1744,11340.97,1.10%,,,,,,,,
Mattapoisett,07/08/2020,37,639.98,607,10499.13,2.27%,,,,,,,,
Maynard,07/08/2020,70,670.84,1130,10829.34,0.00%,,,,,,,,
Medfield,07/08/2020,38,333.32,1047,9183.90,1.52%,,,,,,,,
Medford,07/08/2020,1039,1708.48,8372,13766.48,2.42%,,,,,,,,
Medway,07/08/2020,119,909.79,1213,9273.74,1.32%,,,,,,,,
Melrose,07/08/2020,247,854.02,3404,11769.51,1.28%,,,,,,,,
Mendon,07/08/2020,30,517.86,494,8527.35,0.00%,,,,,,,,
Merrimac,07/08/2020,35,547.73,641,10031.36,0.00%,,,,,,,,
Methuen,07/08/2020,1029,1921.53,7295,13622.53,3.38%,,,,,,,,
Middleborough,07/08/2020,270,1002.90,2960,10994.79,2.45%,,,,,,,,
Middlefield,07/08/2020,0,0.00,16,3526.88,0.00%,,,,,,,,
Middleton,07/08/2020,167,1618.32,1163,11270.13,1.29%,,,,,,,,
Milford,07/08/2020,651,2221.60,4109,14022.34,1.39%,,,,,,,,
Millbury,07/08/2020,214,1566.95,1613,11810.71,1.37%,,,,,,,,
Millis,07/08/2020,49,620.59,732,9270.86,3.51%,,,,,,,,
Millville,07/08/2020,21,591.42,272,7660.34,7.32%,,,,,,,,
Milton,07/08/2020,305,1065.33,2882,10066.45,1.49%,,,,,,,,
Monroe,07/08/2020,0,0.00,9,9059.21,0.00%,,,,,,,,
Monson,07/08/2020,39,462.35,634,7516.07,2.65%,,,,,,,,
Montague,07/08/2020,29,339.24,877,10259.04,1.26%,,,,,,,,
Monterey,07/08/2020,<5,*,64,6859.19,9.09%,,,,,,,,
Montgomery,07/08/2020,<5,*,15,1693.97,0.00%,,,,,,,,
Mount Washington,07/08/2020,0,0.00,3,2213.15,0.00%,,,,,,,,
Nahant,07/08/2020,40,1222.52,384,11736.22,0.56%,,,,,,,,
Nantucket,07/08/2020,19,167.56,1334,11764.19,0.00%,,,,,,,,
Natick,07/08/2020,419,1166.40,3692,10277.67,1.64%,,,,,,,,
Needham,07/08/2020,333,1136.05,3181,10852.14,1.34%,,,,,,,,
New Ashford,07/08/2020,0,0.00,8,4407.64,1.29%,,,,,,,,
New Bedford,07/08/2020,2157,2166.64,14866,14932.43,5.70%,,,,,,,,
New Braintree,07/08/2020,<5,*,66,6233.78,0.00%,,,,,,,,
New Marlborough,07/08/2020,7,457.53,83,5424.98,0.00%,,,,,,,,
New Salem,07/08/2020,<5,*,79,8006.46,0.00%,,,,,,,,
Newbury,07/08/2020,14,210.57,611,9189.79,0.75%,,,,,,,,
Newburyport,07/08/2020,99,556.06,2414,13558.97,0.69%,,,,,,,,
Newton,07/08/2020,773,842.71,10585,11539.60,0.66%,,,,,,,,
Norfolk,07/08/2020,27,218.70,1938,15697.62,0.00%,,,,,,,,
North Adams,07/08/2020,46,352.30,967,7405.97,0.00%,,,,,,,,
North Andover,07/08/2020,346,1143.85,4042,13362.60,1.29%,,,,,,,,
North Attleborough,07/08/2020,258,853.88,2507,8297.20,3.14%,,,,,,,,
North Brookfield,07/08/2020,17,365.86,358,7704.49,1.45%,,,,,,,,
North Reading,07/08/2020,192,1161.19,1524,9216.95,1.74%,,,,,,,,
Northampton,07/08/2020,281,961.29,3775,12914.17,1.00%,,,,,,,,
Northborough,07/08/2020,224,1636.13,1738,12694.65,1.21%,,,,,,,,
Northbridge,07/08/2020,312,1734.85,2061,11459.99,0.41%,,,,,,,,
Northfield,07/08/2020,<5,*,229,7689.07,0.00%,,,,,,,,
Norton,07/08/2020,135,679.66,1839,9258.46,0.90%,,,,,,,,
Norwell,07/08/2020,122,1139.67,1043,9743.20,0.62%,,,,,,,,
Norwood,07/08/2020,580,1926.13,4296,14266.62,1.70%,,,,,,,,
Oak Bluffs,07/08/2020,6,116.08,747,14451.70,0.45%,,,,,,,,
Oakham,07/08/2020,7,331.31,151,7146.87,0.00%,,,,,,,,
Orange,07/08/2020,41,502.28,847,10376.35,0.70%,,,,,,,,
Orleans,07/08/2020,16,283.29,550,9737.97,0.00%,,,,,,,,
Otis,07/08/2020,<5,*,109,5867.00,0.00%,,,,,,,,
Oxford,07/08/2020,82,594.95,1217,8829.94,1.05%,,,,,,,,
Palmer,07/08/2020,50,420.37,1025,8617.49,0.56%,,,,,,,,
Paxton,07/08/2020,33,666.77,406,8203.23,1.49%,,,,,,,,
Peabody,07/08/2020,1001,1795.01,6896,12366.02,1.92%,,,,,,,,
Pelham,07/08/2020,<5,*,101,8100.55,0.00%,,,,,,,,
Pembroke,07/08/2020,92,492.69,1649,8830.85,0.75%,,,,,,,,
Pepperell,07/08/2020,52,423.42,876,7133.01,0.78%,,,,,,,,
Peru,07/08/2020,<5,*,58,6898.16,0.00%,,,,,,,,
Petersham,07/08/2020,7,552.57,128,10104.20,0.00%,,,,,,,,
Phillipston,07/08/2020,16,933.38,162,9450.43,3.57%,,,,,,,,
Pittsfield,07/08/2020,179,404.27,5154,11640.13,0.77%,,,,,,,,
Plainfield,07/08/2020,<5,*,51,8081.04,0.00%,,,,,,,,
Plainville,07/08/2020,65,712.43,861,9436.96,0.79%,,,,,,,,
Plymouth,07/08/2020,610,983.30,7038,11345.01,3.04%,,,,,,,,
Plympton,07/08/2020,11,368.01,265,8865.60,0.00%,,,,,,,,
Princeton,07/08/2020,6,183.92,320,9808.88,0.00%,,,,,,,,
Provincetown,07/08/2020,22,838.46,744,28355.05,0.00%,,,,,,,,
Quincy,07/08/2020,1148,1135.06,11264,11137.01,2.16%,,,,,,,,
Randolph,07/08/2020,955,2790.85,5334,15587.82,2.87%,,,,,,,,
Raynham,07/08/2020,239,1600.05,1806,12090.74,1.12%,,,,,,,,
Reading,07/08/2020,300,1091.55,2958,10762.66,0.58%,,,,,,,,
Rehoboth,07/08/2020,63,499.37,954,7561.89,0.76%,,,,,,,,
Revere,07/08/2020,1808,2968.01,8963,14713.62,5.54%,,,,,,,,
Richmond,07/08/2020,5,376.53,110,8283.73,0.00%,,,,,,,,
Rochester,07/08/2020,37,656.31,532,9436.65,5.80%,,,,,,,,
Rockland,07/08/2020,286,1585.68,2108,11687.45,1.15%,,,,,,,,
Rockport,07/08/2020,82,1251.11,647,9871.54,0.65%,,,,,,,,
Rowe,07/08/2020,0,0.00,29,8470.24,0.00%,,,,,,,,
Rowley,07/08/2020,59,955.68,698,11306.23,5.59%,,,,,,,,
Royalston,07/08/2020,<5,*,100,7843.07,0.00%,,,,,,,,
Russell,07/08/2020,14,741.91,127,6730.14,11.54%,,,,,,,,
Rutland,07/08/2020,53,588.30,775,8602.47,0.00%,,,,,,,,
Salem,07/08/2020,637,1414.97,5615,12472.64,2.50%,,,,,,,,
Salisbury,07/08/2020,53,599.51,871,9852.27,0.74%,,,,,,,,
Sandisfield,07/08/2020,<5,*,147,15736.99,0.00%,,,,,,,,
Sandwich,07/08/2020,95,451.63,1718,8167.45,0.61%,,,,,,,,
Saugus,07/08/2020,557,1959.52,3973,13976.94,1.88%,,,,,,,,
Savoy,07/08/2020,<5,*,39,6168.10,0.00%,,,,,,,,
Scituate,07/08/2020,190,1048.48,1787,9861.21,2.38%,,,,,,,,
Seekonk,07/08/2020,82,585.62,1134,8098.66,1.21%,,,,,,,,
Sharon,07/08/2020,159,868.34,1837,10032.37,0.96%,,,,,,,,
Sheffield,07/08/2020,15,485.90,266,8616.70,0.00%,,,,,,,,
Shelburne,07/08/2020,8,432.60,338,18277.44,0.00%,,,,,,,,
Sherborn,07/08/2020,15,390.90,373,9720.30,0.00%,,,,,,,,
Shirley,07/08/2020,177,2099.87,2473,29338.91,3.13%,,,,,,,,
Shrewsbury,07/08/2020,326,827.43,3842,9751.54,1.33%,,,,,,,,
Shutesbury,07/08/2020,<5,*,129,7345.69,0.00%,,,,,,,,
Somerset,07/08/2020,204,1102.25,2598,14037.49,1.70%,,,,,,,,
Somerville,07/08/2020,971,1268.64,14756,19279.20,0.87%,,,,,,,,
South Hadley,07/08/2020,147,812.19,1395,7707.56,2.34%,,,,,,,,
Southampton,07/08/2020,31,516.19,453,7543.02,1.19%,,,,,,,,
Southborough,07/08/2020,42,431.98,947,9740.11,0.96%,,,,,,,,
Southbridge,07/08/2020,169,1003.37,1487,8828.47,1.62%,,,,,,,,
Southwick,07/08/2020,54,551.39,813,8301.55,2.07%,,,,,,,,
Spencer,07/08/2020,53,460.06,1060,9201.21,2.13%,,,,,,,,
Springfield,07/08/2020,2872,1813.90,18248,11525.07,4.25%,,,,,,,,
Sterling,07/08/2020,122,1549.53,915,11621.49,3.39%,,,,,,,,
Stockbridge,07/08/2020,14,802.96,220,12617.95,0.00%,,,,,,,,
Stoneham,07/08/2020,388,1739.60,3223,14450.36,3.71%,,,,,,,,
Stoughton,07/08/2020,617,2230.86,3911,14140.80,3.26%,,,,,,,,
Stow,07/08/2020,27,374.49,591,8197.23,0.00%,,,,,,,,
Sturbridge,07/08/2020,43,411.79,638,6109.88,1.81%,,,,,,,,
Sudbury,07/08/2020,197,1100.32,1935,10807.71,0.31%,,,,,,,,
Sunderland,07/08/2020,9,236.75,285,7497.08,0.00%,,,,,,,,
Sutton,07/08/2020,50,556.51,755,8403.35,0.65%,,,,,,,,
Swampscott,07/08/2020,133,970.33,1923,14029.67,1.63%,,,,,,,,
Swansea,07/08/2020,135,845.36,1910,11960.30,3.93%,,,,,,,,
Taunton,07/08/2020,983,1716.17,7595,13259.71,3.48%,,,,,,,,
Templeton,07/08/2020,124,1388.43,990,11085.03,2.46%,,,,,,,,
Tewksbury,07/08/2020,586,1903.17,4955,16092.54,1.11%,,,,,,,,
Tisbury,07/08/2020,8,192.25,1328,31912.73,0.21%,,,,,,,,
Tolland,07/08/2020,<5,*,13,3079.79,0.00%,,,,,,,,
Topsfield,07/08/2020,116,1984.96,753,12885.15,2.31%,,,,,,,,
Townsend,07/08/2020,35,382.56,868,9487.47,0.00%,,,,,,,,
Truro,07/08/2020,10,506.37,236,11950.41,0.00%,,,,,,,,
Tyngsborough,07/08/2020,93,775.59,1324,11041.76,0.53%,,,,,,,,
Tyringham,07/08/2020,<5,*,28,11151.84,0.00%,,,,,,,,
Upton,07/08/2020,24,265.46,549,6072.33,0.00%,,,,,,,,
Uxbridge,07/08/2020,78,506.06,1223,7934.71,1.42%,,,,,,,,
Wakefield,07/08/2020,316,1170.16,3629,13438.34,0.39%,,,,,,,,
Wales,07/08/2020,<5,*,115,6033.93,0.00%,,,,,,,,
Walpole,07/08/2020,236,911.17,3074,11868.40,1.55%,,,,,,,,
Waltham,07/08/2020,1243,1864.70,7556,11335.21,1.90%,,,,,,,,
Ware,07/08/2020,33,325.48,827,8156.81,1.44%,,,,,,,,
Wareham,07/08/2020,213,889.32,2535,10584.20,0.93%,,,,,,,,
Warren,07/08/2020,23,424.20,333,6141.68,1.59%,,,,,,,,
Warwick,07/08/2020,0,0.00,62,8272.02,0.00%,,,,,,,,
Washington,07/08/2020,<5,*,34,7443.88,0.00%,,,,,,,,
Watertown,07/08/2020,394,1187.72,3906,11774.74,1.58%,,,,,,,,
Wayland,07/08/2020,108,813.13,1460,10992.31,1.53%,,,,,,,,
Webster,07/08/2020,257,1494.97,2274,13227.85,3.06%,,,,,,,,
Wellesley,07/08/2020,238,800.41,2554,8589.30,1.73%,,,,,,,,
Wellfleet,07/08/2020,5,181.25,304,11019.70,2.00%,,,,,,,,
Wendell,07/08/2020,0,0.00,80,10952.50,0.00%,,,,,,,,
Wenham,07/08/2020,19,364.96,327,6281.11,1.30%,,,,,,,,
West Boylston,07/08/2020,43,547.76,865,11018.83,0.80%,,,,,,,,
West Bridgewater,07/08/2020,140,1931.70,896,12362.85,2.02%,,,,,,,,
West Brookfield,07/08/2020,19,512.19,499,13451.67,0.00%,,,,,,,,
West Newbury,07/08/2020,10,245.01,378,9261.30,2.22%,,,,,,,,
West Springfield,07/08/2020,377,1279.82,3050,10354.02,2.66%,,,,,,,,
West Stockbridge,07/08/2020,5,418.16,120,10035.96,0.00%,,,,,,,,
West Tisbury,07/08/2020,10,346.86,444,15400.79,1.81%,,,,,,,,
Westborough,07/08/2020,335,1777.93,2221,11787.39,0.33%,,,,,,,,
Westfield,07/08/2020,461,1108.75,4145,9969.11,2.34%,,,,,,,,
Westford,07/08/2020,144,622.32,2274,9827.42,1.43%,,,,,,,,
Westhampton,07/08/2020,5,293.92,96,5643.30,0.00%,,,,,,,,
Westminster,07/08/2020,32,436.43,764,10419.88,0.76%,,,,,,,,
Weston,07/08/2020,111,1000.56,1463,13187.61,0.65%,,,,,,,,
Westport,07/08/2020,100,600.82,1680,10093.80,2.29%,,,,,,,,
Westwood,07/08/2020,129,875.21,1648,11180.94,1.06%,,,,,,,,
Weymouth,07/08/2020,726,1294.96,6674,11904.40,1.52%,,,,,,,,
Whately,07/08/2020,5,340.12,54,3673.34,0.00%,,,,,,,,
Whitman,07/08/2020,189,1225.70,1586,10285.48,1.35%,,,,,,,,
Wilbraham,07/08/2020,225,1547.20,1464,10067.09,0.97%,,,,,,,,
Williamsburg,07/08/2020,10,405.37,363,14715.07,0.00%,,,,,,,,
Williamstown,07/08/2020,82,1112.81,816,11073.80,0.00%,,,,,,,,
Wilmington,07/08/2020,333,1366.26,2565,10523.86,1.88%,,,,,,,,
Winchendon,07/08/2020,89,828.17,1193,11101.14,1.27%,,,,,,,,
Winchester,07/08/2020,119,533.06,2531,11337.71,0.66%,,,,,,,,
Windsor,07/08/2020,0,0.00,59,6907.10,0.00%,,,,,,,,
Winthrop,07/08/2020,263,1395.43,2226,11810.77,3.59%,,,,,,,,
Woburn,07/08/2020,646,1556.97,5102,12296.66,4.29%,,,,,,,,
Worcester,07/08/2020,5301,2762.83,30397,15842.61,4.17%,,,,,,,,
Worthington,07/08/2020,0,0.00,89,8393.57,0.00%,,,,,,,,
Wrentham,07/08/2020,192,1702.96,1615,14324.40,1.17%,,,,,,,,
Yarmouth,07/08/2020,115,478.70,2364,9840.46,0.67%,,,,,,,,
Unknown,07/08/2020,262,*,35258,*,*,,,,,,,,
State,07/08/2020,104961,1506.59,910354,13067.06,2.25%,,,,,,,,
Abington,07/01/2020,235,1308.39,1869,10405.90,12.57%,,,,,,,,
