City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Tewksbury,07/22/2020,598,5,Decrease,7296,687,7,1.02%
Tisbury,07/22/2020,10,<5,No change,2003,427,4,0.94%
Tolland,07/22/2020,<5,0,No change,24,4,0,0.00%
Topsfield,07/22/2020,116,0,No change,1259,244,0,0.00%
Townsend,07/22/2020,35,0,No change,1190,139,0,0.00%
Truro,07/22/2020,10,0,No change,327,54,0,0.00%
Tyngsborough,07/22/2020,98,<5,Increase,1911,238,5,2.10%
Tyringham,07/22/2020,<5,0,No change,34,5,0,0.00%
Upton,07/22/2020,25,0,Decrease,812,134,0,0.00%
Uxbridge,07/22/2020,78,0,No change,1831,314,2,0.64%
Wakefield,07/22/2020,326,8,Increase,5474,773,8,1.03%
Wales,07/22/2020,<5,0,No change,166,37,0,0.00%
Walpole,07/22/2020,241,6,No change,4351,442,7,1.58%
Waltham,07/22/2020,1253,13,Decrease,11301,1412,22,1.56%
Ware,07/22/2020,36,<5,No change,1281,256,4,1.56%
Wareham,07/22/2020,219,7,Increase,3727,403,8,1.99%
Warren,07/22/2020,25,<5,Decrease,530,130,1,0.77%
Warwick,07/22/2020,0,0,No change,88,14,0,0.00%
Washington,07/22/2020,<5,0,No change,50,11,0,0.00%
Watertown,07/22/2020,396,<5,Decrease,5810,761,4,0.53%
Wayland,07/22/2020,113,<5,Increase,2237,355,4,1.13%
Webster,07/22/2020,268,8,Decrease,3723,666,11,1.65%
Wellesley,07/22/2020,245,6,Decrease,3965,788,8,1.02%
Wellfleet,07/22/2020,5,0,Decrease,407,64,0,0.00%
Wendell,07/22/2020,0,0,No change,109,16,0,0.00%
Wenham,07/22/2020,20,<5,No change,494,81,1,1.23%
West Boylston,07/22/2020,54,11,Increase,1281,178,11,6.18%
West Bridgewater,07/22/2020,142,<5,No change,1455,120,3,2.50%
West Brookfield,07/22/2020,24,<5,No change,809,203,4,1.97%
West Newbury,07/22/2020,10,0,No change,558,85,0,0.00%
West Springfield,07/22/2020,396,16,Decrease,4648,588,17,2.89%
West Stockbridge,07/22/2020,5,0,No change,179,44,0,0.00%
West Tisbury,07/22/2020,11,<5,Decrease,700,205,1,0.49%
Westborough,07/22/2020,344,8,Decrease,3325,499,9,1.80%
Westfield,07/22/2020,471,7,Decrease,6163,818,9,1.10%
Westford,07/22/2020,145,0,Decrease,3321,401,4,1.00%
Westhampton,07/22/2020,5,0,No change,152,32,0,0.00%
Westminster,07/22/2020,33,<5,No change,1153,178,1,0.56%
Weston,07/22/2020,115,<5,No change,2173,334,2,0.60%
Westport,07/22/2020,100,0,Decrease,2340,239,0,0.00%
Westwood,07/22/2020,137,6,Increase,2493,359,8,2.23%
Weymouth,07/22/2020,740,9,Decrease,9820,1076,14,1.30%
Whately,07/22/2020,5,0,No change,90,16,0,0.00%
Whitman,07/22/2020,194,<5,Increase,2374,243,5,2.06%
Wilbraham,07/22/2020,227,<5,Increase,2208,328,4,1.22%
