City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Abington,08/05/2020,248,6,No Change,3264,349,6,1.72%
Acton,08/05/2020,174,<5,No Change,4182,667,4,0.60%
Acushnet,08/05/2020,103,<5,Decrease,1746,212,4,1.89%
Adams,08/05/2020,35,0,No Change,1147,208,0,0%
Agawam,08/05/2020,506,19,Decrease,6865,1034,25,2.42%
Alford,08/05/2020,<5,0,No Change,36,4,0,0%
Amesbury,08/05/2020,193,<5,Decrease,3438,492,3,0.61%
Amherst,08/05/2020,115,10,Increase,4297,729,11,1.51%
Andover,08/05/2020,331,11,Increase,7565,1240,11,0.89%
Aquinnah,08/05/2020,<5,0,No Change,114,20,0,0%
Arlington,08/05/2020,324,<5,Decrease,8707,1387,7,0.50%
Ashburnham,08/05/2020,34,<5,Increase,1070,147,1,0.68%
Ashby,08/05/2020,15,0,No Change,469,61,0,0%
Ashfield,08/05/2020,<5,0,No Change,227,32,0,0%
Ashland,08/05/2020,262,8,No Change,3630,630,19,3.02%
Athol,08/05/2020,69,<5,Decrease,2718,393,1,0.25%
Attleboro,08/05/2020,700,18,Increase,7984,713,21,2.95%
Auburn,08/05/2020,232,10,Increase,3401,417,10,2.40%
Avon,08/05/2020,81,<5,Decrease,979,119,2,1.68%
Ayer,08/05/2020,146,<5,No Change,3821,319,4,1.25%
Barnstable,08/05/2020,400,14,Decrease,8487,1142,15,1.31%
Barre,08/05/2020,62,0,No Change,999,136,0,0%
Becket,08/05/2020,16,0,No Change,259,39,0,0%
Bedford,08/05/2020,253,6,Increase,6949,670,8,1.19%
Belchertown,08/05/2020,125,12,Decrease,2476,453,12,2.65%
Bellingham,08/05/2020,143,<5,No Change,2788,423,1,0.24%
Belmont,08/05/2020,242,7,Increase,4864,802,8,1.00%
Berkley,08/05/2020,76,<5,Increase,1208,143,5,3.50%
Berlin,08/05/2020,21,0,Decrease,596,98,0,0%
Bernardston,08/05/2020,7,0,No Change,352,61,0,0%
Beverly,08/05/2020,644,12,Decrease,8818,1116,15,1.34%
Billerica,08/05/2020,593,9,Decrease,8610,1204,14,1.16%
Blackstone,08/05/2020,61,<5,Increase,1458,192,5,2.60%
Blandford,08/05/2020,<5,0,No Change,129,17,0,0%
Bolton,08/05/2020,12,<5,Increase,865,166,1,0.60%
Boston,08/05/2020,15001,440,Increase,181874,24898,538,2.16%
Bourne,08/05/2020,165,<5,Decrease,4057,573,1,0.17%
Boxborough,08/05/2020,28,<5,Increase,858,165,2,1.21%
Boxford,08/05/2020,49,<5,Decrease,1390,252,3,1.19%
Boylston,08/05/2020,23,<5,No Change,801,124,1,0.81%
Braintree,08/05/2020,836,6,Decrease,8823,872,7,0.80%
Brewster,08/05/2020,115,<5,Decrease,2108,369,5,1.36%
Bridgewater,08/05/2020,363,<5,Decrease,6566,581,4,0.69%
Brimfield,08/05/2020,9,<5,Decrease,514,89,1,1.12%
Brockton,08/05/2020,4426,79,Increase,29476,2540,130,5.12%
Brookfield,08/05/2020,22,<5,No Change,582,117,3,2.56%
Brookline,08/05/2020,425,16,Increase,11245,2003,17,0.85%
Buckland,08/05/2020,8,0,No Change,49,3,0,0%
Burlington,08/05/2020,276,6,Increase,4943,641,7,1.09%
Cambridge,08/05/2020,1034,33,Increase,35422,5500,44,0.80%
Canton,08/05/2020,311,11,Increase,5818,821,15,1.83%
Carlisle,08/05/2020,20,<5,Increase,819,158,1,0.63%
Carver,08/05/2020,65,<5,Increase,1991,231,5,2.16%
Charlemont,08/05/2020,<5,<5,Increase,201,27,2,7.41%
Charlton,08/05/2020,100,10,Decrease,2833,556,10,1.80%
Chatham,08/05/2020,22,0,Decrease,1155,144,0,0%
Chelmsford,08/05/2020,357,7,Decrease,8432,1193,11,0.92%
Chelsea,08/05/2020,3106,93,Increase,17268,2274,112,4.93%
Cheshire,08/05/2020,<5,0,No Change,487,111,0,0%
Chester,08/05/2020,<5,0,No Change,164,23,0,0%
Chesterfield,08/05/2020,<5,0,No Change,141,24,0,0%
Chicopee,08/05/2020,541,43,Decrease,10281,1519,58,3.82%
Chilmark,08/05/2020,<5,0,No Change,777,155,0,0%
Clarksburg,08/05/2020,8,0,No Change,204,41,0,0%
Clinton,08/05/2020,263,<5,Decrease,3289,479,5,1.04%
Cohasset,08/05/2020,28,<5,No Change,1078,139,1,0.72%
Colrain,08/05/2020,<5,0,No Change,227,41,0,0%
Concord,08/05/2020,182,<5,Decrease,5190,644,3,0.47%
Conway,08/05/2020,<5,0,No Change,304,54,0,0%
Cummington,08/05/2020,<5,0,No Change,147,16,0,0%
Dalton,08/05/2020,18,<5,Increase,1106,196,2,1.02%
Danvers,08/05/2020,757,10,Increase,8798,930,13,1.40%
Dartmouth,08/05/2020,407,9,Decrease,7096,700,12,1.71%
Dedham,08/05/2020,425,<5,Decrease,6323,753,6,0.80%
Deerfield,08/05/2020,13,<5,Decrease,916,191,1,0.52%
Dennis,08/05/2020,99,<5,Decrease,2543,298,4,1.34%
Dighton,08/05/2020,68,0,Decrease,1224,137,0,0%
Douglas,08/05/2020,49,0,No Change,1270,189,0,0%
Dover,08/05/2020,22,0,Decrease,883,198,0,0%
Dracut,08/05/2020,493,9,Increase,8252,1114,10,0.90%
Dudley,08/05/2020,100,<5,Increase,1969,336,4,1.19%
Dunstable,08/05/2020,10,0,No Change,440,58,0,0%
Duxbury,08/05/2020,119,<5,Increase,3172,356,2,0.56%
East Bridgewater,08/05/2020,189,5,Decrease,2569,282,7,2.48%
East Brookfield,08/05/2020,13,0,No Change,340,46,0,0%
East Longmeadow,08/05/2020,282,<5,Decrease,3334,423,4,0.95%
Eastham,08/05/2020,14,<5,Decrease,773,112,1,0.89%
Easthampton,08/05/2020,100,8,Decrease,3159,544,11,2.02%
Easton,08/05/2020,294,6,Decrease,4513,630,7,1.11%
Edgartown,08/05/2020,9,0,No Change,1989,363,0,0%
Egremont,08/05/2020,7,<5,No Change,148,27,2,7.41%
Erving,08/05/2020,6,0,No Change,280,49,0,0%
Essex,08/05/2020,24,0,No Change,580,83,0,0%
Everett,08/05/2020,1894,68,Increase,14613,1701,82,4.82%
Fairhaven,08/05/2020,247,<5,Decrease,4162,348,2,0.57%
Fall River,08/05/2020,1818,84,Decrease,24515,3157,112,3.55%
Falmouth,08/05/2020,235,12,Decrease,7985,1135,13,1.15%
Fitchburg,08/05/2020,824,10,No Change,10495,1018,14,1.38%
Florida,08/05/2020,<5,0,No Change,75,14,0,0%
Foxborough,08/05/2020,131,<5,Decrease,4616,1075,3,0.28%
Framingham,08/05/2020,1827,42,Decrease,16068,2012,56,2.78%
Franklin,08/05/2020,154,11,Increase,4984,845,11,1.30%
Freetown,08/05/2020,111,<5,Decrease,1471,162,4,2.47%
Gardner,08/05/2020,200,<5,Increase,6877,613,3,0.49%
Georgetown,08/05/2020,69,7,Increase,1436,203,7,3.45%
Gill,08/05/2020,<5,0,No Change,197,39,0,0%
Gloucester,08/05/2020,275,8,Decrease,5405,839,9,1.07%
Goshen,08/05/2020,5,0,No Change,76,20,0,0%
Gosnold,08/05/2020,5,0,Decrease,104,79,0,0%
Grafton,08/05/2020,102,<5,No Change,3002,483,5,1.04%
Granby,08/05/2020,38,6,Increase,924,206,7,3.40%
Granville,08/05/2020,12,0,No Change,256,35,0,0%
Great Barrington,08/05/2020,74,<5,No Change,2159,278,1,0.36%
Greenfield,08/05/2020,215,6,Increase,4091,620,6,0.97%
Groton,08/05/2020,44,<5,No Change,1923,305,1,0.33%
Groveland,08/05/2020,41,0,No Change,1111,144,0,0%
Hadley,08/05/2020,45,0,Decrease,1952,391,0,0%
Halifax,08/05/2020,59,0,Decrease,1290,136,0,0%
Hamilton,08/05/2020,39,<5,Decrease,1307,246,4,1.63%
Hampden,08/05/2020,99,0,Decrease,979,104,0,0%
Hancock,08/05/2020,<5,<5,Increase,36,6,1,16.67%
Hanover,08/05/2020,78,<5,Increase,2158,248,4,1.61%
Hanson,08/05/2020,110,0,Decrease,1846,185,0,0%
Hardwick,08/05/2020,10,<5,No Change,353,51,1,1.96%
Harvard,08/05/2020,18,0,No Change,917,156,0,0%
Harwich,08/05/2020,139,<5,Decrease,2881,454,3,0.66%
Hatfield,08/05/2020,19,<5,Increase,582,100,1,1.00%
Haverhill,08/05/2020,1283,18,Decrease,15691,1873,21,1.12%
Hawley,08/05/2020,0,0,No Change,27,6,0,0%
Heath,08/05/2020,0,0,No Change,53,7,0,0%
Hingham,08/05/2020,295,11,Increase,4638,631,14,2.22%
Hinsdale,08/05/2020,5,<5,No Change,385,69,1,1.45%
Holbrook,08/05/2020,205,<5,No Change,2369,253,3,1.19%
Holden,08/05/2020,129,0,Decrease,3995,597,0,0%
Holland,08/05/2020,10,<5,No Change,325,75,3,4.00%
Holliston,08/05/2020,63,6,Increase,2358,386,6,1.55%
Holyoke,08/05/2020,1007,40,Decrease,12564,2299,53,2.31%
Hopedale,08/05/2020,47,<5,Decrease,1392,186,1,0.54%
Hopkinton,08/05/2020,135,<5,Increase,3125,465,3,0.65%
Hubbardston,08/05/2020,8,<5,Increase,726,107,1,0.93%
Hudson,08/05/2020,196,0,No Change,3721,616,1,0.16%
Hull,08/05/2020,59,6,Increase,1654,226,6,2.65%
Huntington,08/05/2020,14,0,No Change,389,69,0,0%
Ipswich,08/05/2020,77,6,Increase,2797,400,6,1.50%
Kingston,08/05/2020,141,<5,Increase,2833,319,7,2.19%
Lakeville,08/05/2020,62,0,No Change,1694,251,0,0%
Lancaster,08/05/2020,106,<5,Increase,1573,242,3,1.24%
Lanesborough,08/05/2020,8,0,No Change,430,71,0,0%
Lawrence,08/05/2020,3824,98,Decrease,28496,3414,119,3.49%
Lee,08/05/2020,22,<5,Decrease,1091,188,2,1.06%
Leicester,08/05/2020,163,<5,Decrease,2179,259,5,1.93%
Lenox,08/05/2020,19,5,Increase,1426,214,5,2.34%
Leominster,08/05/2020,730,18,No Change,10715,1131,21,1.86%
Leverett,08/05/2020,<5,0,No Change,325,66,0,0%
Lexington,08/05/2020,339,5,Decrease,5639,805,7,0.87%
Leyden,08/05/2020,0,0,No Change,23,6,0,0%
Lincoln,08/05/2020,44,<5,Increase,1509,204,3,1.47%
Littleton,08/05/2020,105,<5,Increase,1919,311,2,0.64%
Longmeadow,08/05/2020,240,13,Increase,3226,551,13,2.36%
Lowell,08/05/2020,3040,34,Decrease,34452,4418,50,1.13%
Ludlow,08/05/2020,135,<5,Increase,3748,531,4,0.75%
Lunenburg,08/05/2020,69,<5,Decrease,1965,294,2,0.68%
Lynn,08/05/2020,4020,223,Increase,31194,4543,278,6.12%
Lynnfield,08/05/2020,102,<5,Increase,2459,404,4,0.99%
Malden,08/05/2020,1331,45,Increase,15064,1834,60,3.27%
Manchester,08/05/2020,21,0,Decrease,803,157,0,0%
Mansfield,08/05/2020,179,8,Decrease,3759,504,10,1.98%
Marblehead,08/05/2020,254,9,Increase,4751,699,10,1.43%
Marion,08/05/2020,15,<5,Increase,1378,352,2,0.57%
Marlborough,08/05/2020,1045,26,Decrease,10986,1687,31,1.84%
Marshfield,08/05/2020,175,0,Decrease,4382,509,0,0%
Mashpee,08/05/2020,75,<5,Decrease,3362,464,6,1.29%
Mattapoisett,08/05/2020,42,<5,Decrease,1046,145,1,0.69%
Maynard,08/05/2020,78,7,Increase,2079,322,7,2.17%
Medfield,08/05/2020,39,0,No Change,1967,309,1,0.32%
Medford,08/05/2020,1091,25,Increase,15253,2131,27,1.27%
Medway,08/05/2020,123,<5,Decrease,2250,382,1,0.26%
Melrose,08/05/2020,287,11,Decrease,7310,1030,16,1.55%
Mendon,08/05/2020,32,0,No Change,900,147,1,0.68%
Merrimac,08/05/2020,36,<5,Increase,1099,142,1,0.70%
Methuen,08/05/2020,1086,22,Decrease,12534,1542,31,2.01%
Middleborough,08/05/2020,279,5,Increase,4986,644,7,1.09%
Middlefield,08/05/2020,0,0,No Change,23,2,0,0%
Middleton,08/05/2020,179,7,Increase,1963,241,7,2.90%
Milford,08/05/2020,679,15,Increase,7400,853,17,1.99%
Millbury,08/05/2020,224,8,Increase,2732,347,9,2.59%
Millis,08/05/2020,52,<5,Increase,1360,202,3,1.49%
Millville,08/05/2020,24,<5,Increase,486,65,2,3.08%
Milton,08/05/2020,323,9,Increase,5437,814,11,1.35%
Monroe,08/05/2020,0,0,No Change,11,0,0,0%
Monson,08/05/2020,44,0,No Change,1216,226,1,0.44%
Montague,08/05/2020,29,0,No Change,1538,233,0,0%
Monterey,08/05/2020,<5,0,No Change,140,28,0,0%
Montgomery,08/05/2020,<5,0,No Change,40,12,0,0%
Mount Washington,08/05/2020,0,0,No Change,4,1,0,0%
Nahant,08/05/2020,44,<5,Decrease,783,143,4,2.80%
Nantucket,08/05/2020,30,<5,Decrease,2597,453,3,0.66%
Natick,08/05/2020,441,7,Decrease,6592,997,8,0.80%
Needham,08/05/2020,369,16,Decrease,6349,1102,21,1.91%
New Ashford,08/05/2020,0,0,No Change,17,1,0,0%
New Bedford,08/05/2020,2258,46,Decrease,24651,2722,60,2.20%
New Braintree,08/05/2020,<5,<5,No Change,119,19,1,5.26%
New Marlborough,08/05/2020,8,<5,Increase,144,21,1,4.76%
New Salem,08/05/2020,<5,<5,Increase,167,32,2,6.25%
Newbury,08/05/2020,15,<5,No Change,1189,183,1,0.55%
Newburyport,08/05/2020,118,<5,Decrease,4560,669,2,0.30%
Newton,08/05/2020,816,23,Decrease,19845,3169,27,0.85%
Norfolk,08/05/2020,38,6,Decrease,2952,309,6,1.94%
North Adams,08/05/2020,51,<5,Decrease,1830,335,2,0.60%
North Andover,08/05/2020,368,6,No Change,7488,1141,7,0.61%
North Attleborough,08/05/2020,276,10,Increase,4146,568,10,1.76%
North Brookfield,08/05/2020,22,<5,Increase,726,150,4,2.67%
North Reading,08/05/2020,199,<5,Decrease,2897,502,4,0.80%
Northampton,08/05/2020,304,20,Increase,7604,1413,25,1.77%
Northborough,08/05/2020,228,<5,Decrease,3134,542,2,0.37%
Northbridge,08/05/2020,320,<5,Increase,3647,443,5,1.13%
Northfield,08/05/2020,<5,0,No Change,432,78,0,0%
Norton,08/05/2020,145,<5,Decrease,3006,343,3,0.87%
Norwell,08/05/2020,127,<5,Increase,1890,220,2,0.91%
Norwood,08/05/2020,596,9,Increase,7176,777,13,1.67%
Oak Bluffs,08/05/2020,7,0,Decrease,1290,221,0,0%
Oakham,08/05/2020,10,<5,Decrease,316,69,1,1.45%
Orange,08/05/2020,44,<5,No Change,1646,252,2,0.79%
Orleans,08/05/2020,18,<5,Decrease,928,127,1,0.79%
Otis,08/05/2020,<5,0,No Change,195,42,0,0%
Oxford,08/05/2020,84,<5,Decrease,2240,318,2,0.63%
Palmer,08/05/2020,58,<5,Decrease,1948,318,4,1.26%
Paxton,08/05/2020,34,<5,No Change,776,115,2,1.74%
Peabody,08/05/2020,1070,39,Increase,13473,2060,51,2.48%
Pelham,08/05/2020,<5,0,No Change,183,28,0,0%
Pembroke,08/05/2020,101,5,Increase,2839,320,6,1.88%
Pepperell,08/05/2020,58,<5,No Change,1598,266,5,1.88%
Peru,08/05/2020,<5,0,No Change,95,17,0,0%
Petersham,08/05/2020,8,0,No Change,214,26,0,0%
Phillipston,08/05/2020,16,0,No Change,277,33,0,0%
Pittsfield,08/05/2020,205,13,Increase,9209,1361,18,1.32%
Plainfield,08/05/2020,<5,0,No Change,101,26,0,0%
Plainville,08/05/2020,75,5,Decrease,1492,203,6,2.96%
Plymouth,08/05/2020,610,10,No Change,12879,1494,12,0.80%
Plympton,08/05/2020,11,0,No Change,454,58,0,0%
Princeton,08/05/2020,8,0,Decrease,625,108,0,0%
Provincetown,08/05/2020,27,<5,No Change,1145,192,1,0.52%
Quincy,08/05/2020,1289,75,Decrease,20317,2617,85,3.25%
Randolph,08/05/2020,998,25,Increase,9215,1015,33,3.25%
Raynham,08/05/2020,245,5,Increase,2939,347,6,1.73%
Reading,08/05/2020,307,<5,Increase,5246,701,5,0.71%
Rehoboth,08/05/2020,72,<5,Decrease,1547,182,4,2.20%
Revere,08/05/2020,2021,126,Increase,16950,2562,155,6.05%
Richmond,08/05/2020,5,0,No Change,218,44,0,0%
Rochester,08/05/2020,39,0,Decrease,858,78,0,0%
Rockland,08/05/2020,293,5,Decrease,3517,359,5,1.39%
Rockport,08/05/2020,83,<5,No Change,1265,197,1,0.51%
Rowe,08/05/2020,0,0,No Change,55,9,0,0%
Rowley,08/05/2020,66,<5,No Change,1312,197,3,1.52%
Royalston,08/05/2020,<5,0,No Change,195,31,0,0%
Russell,08/05/2020,18,<5,No Change,246,42,4,9.52%
Rutland,08/05/2020,54,0,No Change,1469,259,0,0%
Salem,08/05/2020,685,35,Increase,10637,1573,38,2.42%
Salisbury,08/05/2020,60,<5,Increase,1566,196,1,0.51%
Sandisfield,08/05/2020,6,<5,No Change,324,61,1,1.64%
Sandwich,08/05/2020,101,<5,Decrease,3211,480,1,0.21%
Saugus,08/05/2020,603,33,Increase,7044,983,43,4.37%
Savoy,08/05/2020,<5,0,No Change,87,13,0,0%
Scituate,08/05/2020,200,<5,Increase,3206,355,4,1.13%
Seekonk,08/05/2020,94,<5,Decrease,1891,196,5,2.55%
Sharon,08/05/2020,172,9,Decrease,3385,552,9,1.63%
Sheffield,08/05/2020,16,<5,No Change,511,96,1,1.04%
Shelburne,08/05/2020,8,0,No Change,635,117,0,0%
Sherborn,08/05/2020,18,<5,Decrease,721,152,1,0.66%
Shirley,08/05/2020,177,<5,No Change,3189,174,1,0.57%
Shrewsbury,08/05/2020,357,13,Decrease,7249,1218,15,1.23%
Shutesbury,08/05/2020,<5,0,No Change,272,71,0,0%
Somerset,08/05/2020,217,<5,Decrease,4287,446,5,1.12%
Somerville,08/05/2020,1037,37,Increase,25202,3877,44,1.13%
South Hadley,08/05/2020,176,7,No Change,2727,491,10,2.04%
Southampton,08/05/2020,33,<5,Decrease,891,169,1,0.59%
Southborough,08/05/2020,43,<5,No Change,1689,288,1,0.35%
Southbridge,08/05/2020,188,9,Decrease,3241,705,10,1.42%
Southwick,08/05/2020,57,<5,No Change,1511,242,1,0.41%
Spencer,08/05/2020,66,6,Decrease,2113,374,8,2.14%
Springfield,08/05/2020,3076,92,Decrease,32264,4304,118,2.74%
Sterling,08/05/2020,124,0,Decrease,1866,391,0,0%
Stockbridge,08/05/2020,15,0,No Change,430,59,0,0%
Stoneham,08/05/2020,411,10,Decrease,5578,704,14,1.99%
Stoughton,08/05/2020,619,8,Decrease,6447,752,8,1.06%
Stow,08/05/2020,28,<5,Increase,1181,224,2,0.89%
Sturbridge,08/05/2020,48,<5,Increase,1359,269,4,1.49%
Sudbury,08/05/2020,208,5,Increase,3592,620,7,1.13%
Sunderland,08/05/2020,10,<5,Increase,529,96,1,1.04%
Sutton,08/05/2020,55,<5,Increase,1436,223,3,1.35%
Swampscott,08/05/2020,145,7,No Change,3422,448,9,2.01%
Swansea,08/05/2020,147,<5,Decrease,3075,379,4,1.06%
Taunton,08/05/2020,1051,49,Increase,13338,1964,55,2.80%
Templeton,08/05/2020,124,0,No Change,1870,259,0,0%
Tewksbury,08/05/2020,608,9,Increase,8986,1526,10,0.66%
Tisbury,08/05/2020,11,<5,No Change,2542,478,1,0.21%
Tolland,08/05/2020,<5,0,No Change,30,5,0,0%
Topsfield,08/05/2020,120,<5,Increase,1674,371,4,1.08%
Townsend,08/05/2020,36,<5,Increase,1462,192,1,0.52%
Truro,08/05/2020,11,<5,Increase,380,49,1,2.04%
Tyngsborough,08/05/2020,103,<5,Increase,2307,334,4,1.20%
Tyringham,08/05/2020,<5,0,No Change,47,10,0,0%
Upton,08/05/2020,26,<5,Increase,1039,189,1,0.53%
Uxbridge,08/05/2020,81,<5,Increase,2308,408,3,0.74%
Wakefield,08/05/2020,336,9,No Change,6550,938,9,0.96%
Wales,08/05/2020,5,<5,No Change,225,50,1,2.00%
Walpole,08/05/2020,246,<5,Decrease,5155,626,2,0.32%
Waltham,08/05/2020,1265,11,Increase,13533,1912,17,0.89%
Ware,08/05/2020,37,<5,Decrease,1626,307,3,0.98%
Wareham,08/05/2020,224,<5,Increase,4201,376,4,1.06%
Warren,08/05/2020,26,<5,No Change,681,130,1,0.77%
Warwick,08/05/2020,0,0,No Change,115,24,0,0%
Washington,08/05/2020,<5,0,No Change,61,9,0,0%
Watertown,08/05/2020,400,5,No Change,7083,1062,10,0.94%
Wayland,08/05/2020,113,<5,Decrease,2684,376,4,1.06%
Webster,08/05/2020,272,<5,Decrease,4566,731,6,0.82%
Wellesley,08/05/2020,256,6,Decrease,5047,931,7,0.75%
Wellfleet,08/05/2020,5,0,No Change,513,86,0,0%
Wendell,08/05/2020,0,0,No Change,152,38,0,0%
Wenham,08/05/2020,22,<5,Increase,647,117,2,1.71%
West Boylston,08/05/2020,60,<5,Decrease,1557,220,5,2.27%
West Bridgewater,08/05/2020,145,<5,Decrease,1816,261,1,0.38%
West Brookfield,08/05/2020,24,0,Decrease,1044,185,0,0%
West Newbury,08/05/2020,14,<5,Decrease,690,106,4,3.77%
West Springfield,08/05/2020,411,15,Increase,5475,688,16,2.33%
West Stockbridge,08/05/2020,5,0,No Change,226,41,0,0%
West Tisbury,08/05/2020,11,0,No Change,891,164,1,0.61%
Westborough,08/05/2020,350,5,Increase,3929,543,6,1.10%
Westfield,08/05/2020,493,20,Increase,7287,985,22,2.23%
Westford,08/05/2020,157,12,Increase,4289,735,12,1.63%
Westhampton,08/05/2020,5,0,No Change,181,26,0,0%
Westminster,08/05/2020,33,0,No Change,1419,223,0,0%
Weston,08/05/2020,118,<5,No Change,2695,417,3,0.72%
Westport,08/05/2020,106,5,Increase,2853,399,7,1.75%
Westwood,08/05/2020,141,5,Decrease,3046,425,5,1.18%
Weymouth,08/05/2020,768,22,Increase,11372,1356,26,1.92%
Whately,08/05/2020,7,<5,No Change,120,28,2,7.14%
Whitman,08/05/2020,198,<5,Decrease,2696,287,3,1.05%
Wilbraham,08/05/2020,234,<5,Decrease,2715,424,4,0.94%
Williamsburg,08/05/2020,13,<5,No Change,727,136,2,1.47%
Williamstown,08/05/2020,83,0,No Change,1526,233,0,0%
Wilmington,08/05/2020,343,<5,Decrease,4462,529,2,0.38%
Winchendon,08/05/2020,91,<5,No Change,2088,266,2,0.75%
Winchester,08/05/2020,122,0,Decrease,5066,974,1,0.10%
Windsor,08/05/2020,0,0,No Change,120,24,0,0%
Winthrop,08/05/2020,320,14,No Change,4906,649,25,3.85%
Woburn,08/05/2020,676,18,Increase,9006,1197,21,1.75%
Worcester,08/05/2020,5579,151,Decrease,57103,7585,186,2.45%
Worthington,08/05/2020,0,0,No Change,182,36,0,0%
Wrentham,08/05/2020,220,15,Increase,2972,383,16,4.18%
Yarmouth,08/05/2020,123,<5,Decrease,4671,664,5,0.75%
Unknown,08/05/2020,267,18,Decrease,55023,5726,20,0.35%
State,08/05/2020,111371,2788,Decrease,1636875,224483,4079,1.82%
Abington,07/29/2020,243,<5,Decrease,3053,286,5,1.75%
Acton,07/29/2020,172,<5,Decrease,3761,551,5,0.91%
Acushnet,07/29/2020,102,<5,Decrease,1604,166,6,3.61%
Adams,07/29/2020,35,0,No change,1019,180,0,0.00%
Agawam,07/29/2020,493,13,Decrease,6263,851,20,2.35%
Alford,07/29/2020,<5,0,No change,32,2,0,0.00%
Amesbury,07/29/2020,191,<5,Decrease,3124,474,4,0.84%
Amherst,07/29/2020,107,<5,Decrease,3832,669,3,0.45%
Andover,07/29/2020,325,7,Increase,6813,1160,8,0.69%
Aquinnah,07/29/2020,<5,0,No change,100,20,0,0.00%
Arlington,07/29/2020,321,5,Decrease,7759,1166,8,0.69%
Ashburnham,07/29/2020,33,0,No change,975,135,0,0.00%
Ashby,07/29/2020,15,0,No change,422,50,0,0.00%
Ashfield,07/29/2020,<5,0,Decrease,207,35,1,2.86%
Ashland,07/29/2020,256,5,Increase,3222,432,16,3.70%
Athol,07/29/2020,68,<5,No change,2495,360,1,0.28%
Attleboro,07/29/2020,686,9,Decrease,7430,635,12,1.89%
Auburn,07/29/2020,223,<5,Increase,3100,330,3,0.91%
Avon,07/29/2020,80,<5,No change,905,100,3,3.00%
Ayer,07/29/2020,144,<5,Decrease,3611,278,7,2.52%
Barnstable,07/29/2020,391,17,Increase,7687,920,17,1.85%
Barre,07/29/2020,62,0,No change,906,111,0,0.00%
Becket,07/29/2020,16,0,Decrease,242,43,0,0.00%
Bedford,07/29/2020,247,<5,Decrease,6559,545,7,1.28%
Belchertown,07/29/2020,121,15,Increase,2191,421,15,3.56%
Bellingham,07/29/2020,142,<5,Decrease,2449,266,2,0.75%
Belmont,07/29/2020,236,<5,No change,4351,638,6,0.94%
Berkley,07/29/2020,73,<5,No change,1101,87,1,1.15%
Berlin,07/29/2020,21,<5,No change,523,66,1,1.52%
Bernardston,07/29/2020,7,0,No change,316,55,0,0.00%
Beverly,07/29/2020,637,14,Increase,8170,1077,16,1.49%
Billerica,07/29/2020,583,8,Decrease,7847,1041,10,0.96%
Blackstone,07/29/2020,56,0,Decrease,1301,123,0,0.00%
Blandford,07/29/2020,<5,0,No change,119,19,0,0.00%
Bolton,07/29/2020,11,0,No change,755,126,0,0.00%
Boston,07/29/2020,14667,296,Decrease,165596,20272,389,1.92%
Bourne,07/29/2020,164,<5,Decrease,3740,547,6,1.10%
Boxborough,07/29/2020,26,0,No change,740,118,0,0.00%
Boxford,07/29/2020,47,<5,Increase,1227,201,4,1.99%
Boylston,07/29/2020,23,<5,No change,712,100,1,1.00%
Braintree,07/29/2020,831,13,Decrease,8293,872,15,1.72%
Brewster,07/29/2020,113,7,Increase,1843,285,8,2.81%
Bridgewater,07/29/2020,360,<5,No change,6163,414,4,0.97%
Brimfield,07/29/2020,9,<5,No change,458,83,2,2.41%
Brockton,07/29/2020,4364,59,Decrease,27728,1898,79,4.16%
Brookfield,07/29/2020,22,<5,Increase,506,105,2,1.90%
Brookline,07/29/2020,419,15,Increase,9977,1636,16,0.98%
Buckland,07/29/2020,8,0,No change,46,1,0,0.00%
Burlington,07/29/2020,272,<5,Decrease,4531,642,4,0.62%
Cambridge,07/29/2020,1013,25,No change,31861,4522,34,0.75%
Canton,07/29/2020,302,6,Decrease,5307,688,10,1.45%
Carlisle,07/29/2020,19,0,Decrease,715,118,0,0.00%
Carver,07/29/2020,63,<5,No change,1852,237,4,1.69%
Charlemont,07/29/2020,<5,0,No change,179,23,2,8.70%
Charlton,07/29/2020,92,7,No change,2515,444,7,1.58%
Chatham,07/29/2020,22,<5,Decrease,1070,139,2,1.44%
Chelmsford,07/29/2020,351,7,Decrease,7615,871,7,0.80%
Chelsea,07/29/2020,3036,56,Decrease,15821,1993,75,3.76%
Cheshire,07/29/2020,<5,0,No change,423,89,0,0.00%
Chester,07/29/2020,<5,0,No change,152,24,0,0.00%
Chesterfield,07/29/2020,<5,0,No change,127,33,0,0.00%
Chicopee,07/29/2020,509,39,Decrease,9349,1416,47,3.32%
Chilmark,07/29/2020,<5,0,No change,663,111,0,0.00%
Clarksburg,07/29/2020,8,0,Decrease,182,40,0,0.00%
Clinton,07/29/2020,261,<5,Decrease,2932,347,4,1.15%
Cohasset,07/29/2020,28,<5,Increase,993,130,1,0.77%
Colrain,07/29/2020,<5,0,No change,201,42,0,0.00%
Concord,07/29/2020,182,6,Increase,4767,532,8,1.50%
Conway,07/29/2020,<5,0,No change,266,40,0,0.00%
Cummington,07/29/2020,<5,0,No change,138,19,0,0.00%
Dalton,07/29/2020,16,0,No change,989,162,0,0.00%
Danvers,07/29/2020,747,5,Decrease,8195,743,6,0.81%
Dartmouth,07/29/2020,401,9,Decrease,6610,656,12,1.83%
